X,Y,Value
2215,152,255
2216,152,255
2217,152,255
2218,152,255
2219,152,255
2220,152,255
2221,152,255
2222,152,255
2223,152,255
2224,152,255
2225,152,255
2226,152,255
2227,152,255
2228,152,255
2205,153,255
2206,153,255
2207,153,255
2208,153,255
2209,153,255
2210,153,255
2211,153,255
2212,153,255
2213,153,255
2214,153,255
2215,153,255
2228,153,255
2229,153,255
2230,153,255
2231,153,255
2232,153,255
2200,154,255
2201,154,255
2202,154,255
2203,154,255
2204,154,255
2205,154,255
2232,154,255
2233,154,255
2234,154,255
2235,154,255
2236,154,255
2237,154,255
2238,154,255
2239,154,255
2186,155,255
2187,155,255
2188,155,255
2189,155,255
2190,155,255
2191,155,255
2192,155,255
2193,155,255
2194,155,255
2195,155,255
2196,155,255
2197,155,255
2198,155,255
2199,155,255
2200,155,255
2239,155,255
2240,155,255
2241,155,255
2242,155,255
2243,155,255
2246,155,255
2247,155,255
2248,155,255
2249,155,255
2250,155,255
2251,155,255
2252,155,255
2253,155,255
2254,155,255
2255,155,255
2256,155,255
205,156,255
206,156,255
207,156,255
208,156,255
209,156,255
210,156,255
211,156,255
212,156,255
213,156,255
214,156,255
215,156,255
216,156,255
217,156,255
218,156,255
219,156,255
220,156,255
2183,156,255
2184,156,255
2185,156,255
2186,156,255
2243,156,255
2244,156,255
2245,156,255
2246,156,255
2256,156,255
198,157,255
199,157,255
200,157,255
201,157,255
202,157,255
203,157,255
204,157,255
205,157,255
220,157,255
221,157,255
222,157,255
223,157,255
224,157,255
225,157,255
226,157,255
227,157,255
228,157,255
229,157,255
230,157,255
2175,157,255
2176,157,255
2177,157,255
2178,157,255
2179,157,255
2180,157,255
2181,157,255
2182,157,255
2183,157,255
2256,157,255
2257,157,255
198,158,255
230,158,255
231,158,255
232,158,255
233,158,255
234,158,255
235,158,255
236,158,255
237,158,255
238,158,255
2144,158,255
2145,158,255
2146,158,255
2147,158,255
2166,158,255
2167,158,255
2168,158,255
2169,158,255
2170,158,255
2171,158,255
2172,158,255
2173,158,255
2174,158,255
2175,158,255
2257,158,255
2258,158,255
2259,158,255
198,159,255
199,159,255
200,159,255
201,159,255
238,159,255
239,159,255
240,159,255
1626,159,255
1627,159,255
1628,159,255
2138,159,255
2139,159,255
2140,159,255
2141,159,255
2142,159,255
2143,159,255
2144,159,255
2147,159,255
2148,159,255
2149,159,255
2150,159,255
2151,159,255
2152,159,255
2153,159,255
2154,159,255
2155,159,255
2159,159,255
2160,159,255
2161,159,255
2162,159,255
2163,159,255
2164,159,255
2165,159,255
2166,159,255
2259,159,255
2260,159,255
2261,159,255
2262,159,255
198,160,255
199,160,255
240,160,255
241,160,255
242,160,255
243,160,255
244,160,255
1622,160,255
1623,160,255
1624,160,255
1625,160,255
1626,160,255
1628,160,255
1629,160,255
1630,160,255
1631,160,255
1632,160,255
1633,160,255
1634,160,255
1635,160,255
1636,160,255
2134,160,255
2135,160,255
2136,160,255
2137,160,255
2138,160,255
2155,160,255
2156,160,255
2157,160,255
2158,160,255
2159,160,255
2262,160,255
2263,160,255
2264,160,255
2265,160,255
2266,160,255
198,161,255
244,161,255
245,161,255
246,161,255
247,161,255
1611,161,255
1612,161,255
1613,161,255
1614,161,255
1615,161,255
1616,161,255
1617,161,255
1618,161,255
1619,161,255
1620,161,255
1621,161,255
1622,161,255
1636,161,255
1637,161,255
1638,161,255
1639,161,255
1640,161,255
1641,161,255
1642,161,255
1643,161,255
1644,161,255
1645,161,255
1646,161,255
1647,161,255
1648,161,255
1649,161,255
1650,161,255
1651,161,255
2134,161,255
2266,161,255
194,162,255
195,162,255
196,162,255
197,162,255
198,162,255
199,162,255
247,162,255
1605,162,255
1606,162,255
1607,162,255
1608,162,255
1609,162,255
1610,162,255
1611,162,255
1651,162,255
1652,162,255
1653,162,255
1972,162,255
1973,162,255
1974,162,255
1975,162,255
1976,162,255
1977,162,255
1978,162,255
1979,162,255
1980,162,255
1981,162,255
2130,162,255
2131,162,255
2132,162,255
2133,162,255
2134,162,255
2135,162,255
2136,162,255
2137,162,255
2138,162,255
2139,162,255
2140,162,255
2266,162,255
2267,162,255
193,163,255
194,163,255
247,163,255
248,163,255
252,163,255
253,163,255
254,163,255
255,163,255
256,163,255
257,163,255
258,163,255
1603,163,255
1604,163,255
1605,163,255
1653,163,255
1962,163,255
1963,163,255
1964,163,255
1965,163,255
1966,163,255
1967,163,255
1968,163,255
1969,163,255
1970,163,255
1971,163,255
1972,163,255
1981,163,255
1982,163,255
1983,163,255
1984,163,255
1985,163,255
2128,163,255
2129,163,255
2130,163,255
2267,163,255
189,164,255
190,164,255
191,164,255
192,164,255
193,164,255
248,164,255
249,164,255
250,164,255
251,164,255
252,164,255
258,164,255
259,164,255
260,164,255
261,164,255
262,164,255
263,164,255
1598,164,255
1599,164,255
1600,164,255
1601,164,255
1602,164,255
1603,164,255
1653,164,255
1654,164,255
1655,164,255
1656,164,255
1657,164,255
1658,164,255
1955,164,255
1956,164,255
1957,164,255
1958,164,255
1959,164,255
1960,164,255
1961,164,255
1962,164,255
1985,164,255
1986,164,255
1987,164,255
1988,164,255
1989,164,255
1990,164,255
1991,164,255
1992,164,255
1993,164,255
1994,164,255
1995,164,255
2127,164,255
2128,164,255
2267,164,255
2268,164,255
2269,164,255
2270,164,255
2271,164,255
2272,164,255
2273,164,255
186,165,255
187,165,255
188,165,255
189,165,255
263,165,255
1596,165,255
1597,165,255
1598,165,255
1658,165,255
1659,165,255
1660,165,255
1661,165,255
1662,165,255
1954,165,255
1955,165,255
1995,165,255
2124,165,255
2125,165,255
2126,165,255
2127,165,255
2273,165,255
2274,165,255
184,166,255
185,166,255
186,166,255
259,166,255
260,166,255
261,166,255
262,166,255
263,166,255
264,166,255
265,166,255
266,166,255
267,166,255
1593,166,255
1594,166,255
1595,166,255
1596,166,255
1662,166,255
1663,166,255
1664,166,255
1947,166,255
1948,166,255
1949,166,255
1950,166,255
1951,166,255
1952,166,255
1953,166,255
1954,166,255
1995,166,255
