X,Y,Value
298,203,255
299,203,255
300,203,255
301,203,255
302,203,255
303,203,255
304,203,255
305,203,255
306,203,255
307,203,255
308,203,255
309,203,255
310,203,255
311,203,255
312,203,255
313,203,255
314,203,255
315,203,255
316,203,255
317,203,255
318,203,255
295,204,255
296,204,255
297,204,255
298,204,255
318,204,255
319,204,255
320,204,255
321,204,255
322,204,255
2615,204,255
2616,204,255
2617,204,255
2618,204,255
2619,204,255
2620,204,255
2621,204,255
2622,204,255
2623,204,255
295,205,255
322,205,255
323,205,255
324,205,255
325,205,255
326,205,255
327,205,255
328,205,255
329,205,255
330,205,255
331,205,255
332,205,255
333,205,255
334,205,255
2615,205,255
2623,205,255
2624,205,255
270,206,255
271,206,255
272,206,255
273,206,255
274,206,255
275,206,255
276,206,255
277,206,255
278,206,255
279,206,255
280,206,255
281,206,255
282,206,255
292,206,255
293,206,255
294,206,255
295,206,255
296,206,255
334,206,255
335,206,255
2615,206,255
2624,206,255
258,207,255
259,207,255
260,207,255
261,207,255
262,207,255
263,207,255
264,207,255
265,207,255
266,207,255
267,207,255
268,207,255
269,207,255
270,207,255
282,207,255
283,207,255
284,207,255
285,207,255
286,207,255
287,207,255
288,207,255
289,207,255
290,207,255
291,207,255
292,207,255
335,207,255
336,207,255
337,207,255
338,207,255
339,207,255
340,207,255
341,207,255
342,207,255
2615,207,255
2616,207,255
2617,207,255
2618,207,255
2619,207,255
2620,207,255
2621,207,255
2622,207,255
2623,207,255
2624,207,255
257,208,255
258,208,255
287,208,255
342,208,255
343,208,255
344,208,255
345,208,255
2599,208,255
2600,208,255
2601,208,255
2602,208,255
2603,208,255
2604,208,255
2605,208,255
2606,208,255
2607,208,255
2608,208,255
2609,208,255
2610,208,255
2611,208,255
2612,208,255
2613,208,255
2614,208,255
2615,208,255
2616,208,255
2617,208,255
2618,208,255
2619,208,255
2620,208,255
2621,208,255
2622,208,255
2623,208,255
2624,208,255
2625,208,255
2626,208,255
2627,208,255
2628,208,255
2629,208,255
2630,208,255
2631,208,255
2632,208,255
2633,208,255
2644,208,255
2645,208,255
2646,208,255
2647,208,255
2648,208,255
2649,208,255
2650,208,255
2651,208,255
2652,208,255
257,209,255
345,209,255
2594,209,255
2595,209,255
2596,209,255
2597,209,255
2598,209,255
2599,209,255
2633,209,255
2634,209,255
2635,209,255
2636,209,255
2637,209,255
2638,209,255
2639,209,255
2640,209,255
2641,209,255
2642,209,255
2643,209,255
2644,209,255
2652,209,255
2653,209,255
2654,209,255
2655,209,255
2656,209,255
228,210,255
229,210,255
230,210,255
231,210,255
232,210,255
233,210,255
234,210,255
235,210,255
236,210,255
237,210,255
238,210,255
239,210,255
240,210,255
241,210,255
242,210,255
243,210,255
244,210,255
245,210,255
246,210,255
247,210,255
248,210,255
249,210,255
250,210,255
251,210,255
252,210,255
253,210,255
254,210,255
255,210,255
256,210,255
257,210,255
258,210,255
344,210,255
345,210,255
346,210,255
2588,210,255
2589,210,255
2590,210,255
2591,210,255
2592,210,255
2593,210,255
2594,210,255
2656,210,255
2657,210,255
2658,210,255
2659,210,255
2660,210,255
2661,210,255
2662,210,255
2663,210,255
2664,210,255
2665,210,255
2666,210,255
2667,210,255
225,211,255
226,211,255
227,211,255
228,211,255
258,211,255
259,211,255
260,211,255
261,211,255
262,211,255
263,211,255
264,211,255
265,211,255
346,211,255
347,211,255
348,211,255
349,211,255
350,211,255
351,211,255
2586,211,255
2587,211,255
2588,211,255
2667,211,255
225,212,255
351,212,255
352,212,255
353,212,255
2582,212,255
2583,212,255
2584,212,255
2585,212,255
2586,212,255
2665,212,255
2666,212,255
2667,212,255
