X,Y,Value
2562,168,255
2563,168,255
2564,168,255
2559,169,255
2560,169,255
2561,169,255
2562,169,255
2564,169,255
2565,169,255
2566,169,255
2567,169,255
2568,169,255
2569,169,255
2570,169,255
2559,170,255
2570,170,255
2559,171,255
2560,171,255
2561,171,255
2562,171,255
2563,171,255
2564,171,255
2565,171,255
2566,171,255
2567,171,255
2568,171,255
2569,171,255
2570,171,255
2555,172,255
2556,172,255
2557,172,255
2558,172,255
2559,172,255
2560,172,255
2564,172,255
2565,172,255
2566,172,255
2567,172,255
2568,172,255
2569,172,255
2570,172,255
2571,172,255
2572,172,255
2573,172,255
2574,172,255
2575,172,255
2576,172,255
2548,173,255
2549,173,255
2550,173,255
2551,173,255
2552,173,255
2553,173,255
2554,173,255
2555,173,255
2560,173,255
2561,173,255
2562,173,255
2563,173,255
2564,173,255
2565,173,255
2576,173,255
2577,173,255
2578,173,255
2579,173,255
2580,173,255
2581,173,255
2582,173,255
2583,173,255
2584,173,255
2585,173,255
2586,173,255
2587,173,255
2588,173,255
2545,174,255
2546,174,255
2547,174,255
2548,174,255
2588,174,255
2589,174,255
2590,174,255
2591,174,255
2544,175,255
2545,175,255
2591,175,255
2592,175,255
2593,175,255
2594,175,255
2595,175,255
2596,175,255
2597,175,255
2598,175,255
2599,175,255
2600,175,255
2601,175,255
2541,176,255
2542,176,255
2543,176,255
2544,176,255
2601,176,255
2602,176,255
2603,176,255
649,177,255
650,177,255
651,177,255
652,177,255
653,177,255
654,177,255
655,177,255
656,177,255
657,177,255
658,177,255
659,177,255
660,177,255
661,177,255
662,177,255
663,177,255
664,177,255
665,177,255
666,177,255
667,177,255
668,177,255
669,177,255
670,177,255
671,177,255
672,177,255
673,177,255
2539,177,255
2540,177,255
2541,177,255
2603,177,255
2604,177,255
2605,177,255
2606,177,255
2607,177,255
279,178,255
280,178,255
281,178,255
282,178,255
283,178,255
284,178,255
285,178,255
641,178,255
642,178,255
643,178,255
644,178,255
645,178,255
646,178,255
647,178,255
648,178,255
649,178,255
673,178,255
674,178,255
675,178,255
676,178,255
2535,178,255
2536,178,255
2537,178,255
2538,178,255
2539,178,255
2607,178,255
2608,178,255
2609,178,255
2610,178,255
2611,178,255
2612,178,255
279,179,255
285,179,255
288,179,255
289,179,255
290,179,255
291,179,255
292,179,255
293,179,255
294,179,255
295,179,255
296,179,255
297,179,255
298,179,255
299,179,255
300,179,255
301,179,255
302,179,255
303,179,255
304,179,255
633,179,255
634,179,255
635,179,255
