X,Y,Value
230,185,255
231,185,255
232,185,255
233,185,255
234,185,255
235,185,255
229,186,255
230,186,255
235,186,255
236,186,255
237,186,255
213,187,255
214,187,255
215,187,255
216,187,255
217,187,255
218,187,255
219,187,255
220,187,255
221,187,255
229,187,255
237,187,255
238,187,255
239,187,255
240,187,255
241,187,255
242,187,255
243,187,255
244,187,255
245,187,255
246,187,255
207,188,255
208,188,255
209,188,255
210,188,255
211,188,255
212,188,255
213,188,255
221,188,255
222,188,255
223,188,255
224,188,255
225,188,255
226,188,255
227,188,255
228,188,255
229,188,255
230,188,255
231,188,255
232,188,255
233,188,255
234,188,255
235,188,255
236,188,255
237,188,255
246,188,255
203,189,255
204,189,255
205,189,255
206,189,255
207,189,255
232,189,255
233,189,255
234,189,255
235,189,255
236,189,255
237,189,255
238,189,255
239,189,255
240,189,255
241,189,255
242,189,255
243,189,255
244,189,255
245,189,255
246,189,255
2691,189,255
2692,189,255
2693,189,255
2694,189,255
2695,189,255
2707,189,255
2708,189,255
2709,189,255
2710,189,255
2711,189,255
199,190,255
200,190,255
201,190,255
202,190,255
203,190,255
241,190,255
242,190,255
243,190,255
244,190,255
245,190,255
246,190,255
2690,190,255
2691,190,255
2695,190,255
2696,190,255
2697,190,255
2698,190,255
2699,190,255
2700,190,255
2701,190,255
2702,190,255
2703,190,255
2704,190,255
2705,190,255
2706,190,255
2707,190,255
2711,190,255
2712,190,255
2713,190,255
2714,190,255
2715,190,255
188,191,255
189,191,255
190,191,255
191,191,255
192,191,255
193,191,255
194,191,255
195,191,255
196,191,255
197,191,255
198,191,255
199,191,255
246,191,255
247,191,255
248,191,255
249,191,255
2688,191,255
2689,191,255
2690,191,255
2715,191,255
182,192,255
183,192,255
184,192,255
185,192,255
186,192,255
187,192,255
188,192,255
249,192,255
250,192,255
251,192,255
252,192,255
253,192,255
254,192,255
255,192,255
256,192,255
2680,192,255
2681,192,255
2682,192,255
2683,192,255
2684,192,255
2685,192,255
2686,192,255
2687,192,255
2688,192,255
2715,192,255
179,193,255
180,193,255
181,193,255
182,193,255
256,193,255
257,193,255
258,193,255
259,193,255
2668,193,255
2669,193,255
2670,193,255
2671,193,255
2672,193,255
2673,193,255
2674,193,255
2675,193,255
2676,193,255
2677,193,255
2678,193,255
2679,193,255
2680,193,255
2714,193,255
2715,193,255
2716,193,255
2717,193,255
2718,193,255
2719,193,255
2720,193,255
2721,193,255
2722,193,255
2723,193,255
179,194,255
259,194,255
260,194,255
261,194,255
262,194,255
2665,194,255
2666,194,255
2667,194,255
2668,194,255
2723,194,255
179,195,255
180,195,255
181,195,255
182,195,255
262,195,255
263,195,255
264,195,255
265,195,255
2661,195,255
2662,195,255
2663,195,255
2664,195,255
2665,195,255
2721,195,255
2722,195,255
2723,195,255
178,196,255
179,196,255
180,196,255
181,196,255
182,196,255
265,196,255
266,196,255
267,196,255
2658,196,255
2659,196,255
2660,196,255
2661,196,255
2719,196,255
2720,196,255
2721,196,255
2722,196,255
2723,196,255
2724,196,255
2725,196,255
2726,196,255
174,197,255
175,197,255
176,197,255
177,197,255
178,197,255
267,197,255
268,197,255
269,197,255
270,197,255
271,197,255
272,197,255
2655,197,255
2656,197,255
2657,197,255
2658,197,255
2726,197,255
174,198,255
272,198,255
273,198,255
274,198,255
2651,198,255
2652,198,255
2653,198,255
2654,198,255
2655,198,255
2725,198,255
2726,198,255
174,199,255
175,199,255
176,199,255
274,199,255
275,199,255
276,199,255
2647,199,255
2648,199,255
2649,199,255
2650,199,255
2651,199,255
2725,199,255
174,200,255
175,200,255
176,200,255
177,200,255
178,200,255
179,200,255
180,200,255
181,200,255
276,200,255
277,200,255
278,200,255
2646,200,255
2647,200,255
2721,200,255
2722,200,255
2723,200,255
2724,200,255
2725,200,255
2726,200,255
2727,200,255
2728,200,255
171,201,255
172,201,255
173,201,255
174,201,255
278,201,255
279,201,255
280,201,255
2645,201,255
2646,201,255
2722,201,255
2723,201,255
2724,201,255
2725,201,255
2728,201,255
2729,201,255
169,202,255
170,202,255
171,202,255
280,202,255
281,202,255
282,202,255
283,202,255
2645,202,255
2729,202,255
167,203,255
168,203,255
169,203,255
283,203,255
284,203,255
285,203,255
2645,203,255
2646,203,255
2726,203,255
2727,203,255
2728,203,255
2729,203,255
167,204,255
285,204,255
286,204,255
2639,204,255
2640,204,255
2641,204,255
2642,204,255
2643,204,255
2644,204,255
2645,204,255
2646,204,255
2647,204,255
2724,204,255
2725,204,255
2726,204,255
167,205,255
168,205,255
169,205,255
286,205,255
312,205,255
313,205,255
314,205,255
324,205,255
325,205,255
326,205,255
737,205,255
738,205,255
739,205,255
740,205,255
741,205,255
742,205,255
743,205,255
744,205,255
745,205,255
746,205,255
747,205,255
748,205,255
749,205,255
750,205,255
751,205,255
752,205,255
2637,205,255
2638,205,255
2639,205,255
2725,205,255
2726,205,255
2727,205,255
165,206,255
166,206,255
167,206,255
284,206,255
285,206,255
286,206,255
302,206,255
303,206,255
304,206,255
305,206,255
306,206,255
307,206,255
308,206,255
309,206,255
310,206,255
311,206,255
312,206,255
314,206,255
315,206,255
316,206,255
324,206,255
326,206,255
730,206,255
731,206,255
732,206,255
733,206,255
734,206,255
735,206,255
736,206,255
737,206,255
752,206,255
2631,206,255
2632,206,255
2633,206,255
2634,206,255
2635,206,255
2636,206,255
2637,206,255
2727,206,255
2728,206,255
2729,206,255
2730,206,255
2731,206,255
2732,206,255
2733,206,255
2734,206,255
2735,206,255
165,207,255
285,207,255
286,207,255
287,207,255
288,207,255
302,207,255
316,207,255
324,207,255
325,207,255
326,207,255
713,207,255
714,207,255
715,207,255
716,207,255
717,207,255
718,207,255
719,207,255
720,207,255
721,207,255
722,207,255
723,207,255
724,207,255
725,207,255
726,207,255
727,207,255
728,207,255
729,207,255
730,207,255
750,207,255
751,207,255
752,207,255
753,207,255
