Isolate,Temperature,G0_prime_mean,G0_prime_std,tan_delta0_mean,tan_delta0_std,gamma_f_mean,gamma_f_std,gamma_y_mean,gamma_y_std,WSO_mean,WSO_std
2103,30C,385.94345238095235,26.361820646488326,0.243285675516317,0.00861033982476141,15.1023382077585,0.06632163940223457,1.3687133333333332,0.18889458921137298,38.18035714285714,3.229165933728239
2103,50C,96.94175925925924,50.527147319331455,0.2308323558658556,0.017459683730484916,73.58150335255948,7.325726543268074,1.50448,0.42483750787801194,1.3592129629629657,1.3804047001005482
2106,30C,10996.571428571428,1576.646091537089,0.11470052456293345,0.00032844063345477067,5.2421331640257165,0.7321701978066861,1.42305,0.23183202927982144,2421.9285714285716,790.6463966210154
2106,50C,184.8848214285714,1.5947783297118179,0.11021524760351895,0.0006925094678019934,78.44604216529015,0.7127550221346908,1.62737,0.5214488247182075,4.287321428571428,1.824082957325155
2107,30C,2043.7232142857142,1199.4677583081018,0.0993741256408954,0.001869292834054833,17.94928685487578,5.86239208545893,1.498605,0.7049642476395523,324.08571428571423,188.9591349839365
2107,50C,158.9101851851852,5.794588480508032,0.1391725763964853,0.05355733660216717,68.59723860308348,21.29600327965567,1.47661,0.18757345041343138,3.7180092592592593,0.49983007014647685
2108,30C,215.31547619047618,10.315034526719481,0.2789657209436149,0.0026898289361692875,58.20209318733392,2.7177952707846895,2.63782,0.9115003978605823,8.967440476190477,1.2391684322505994
2108,50C,15.947037037037036,3.6343094735856276,0.47402658220196586,0.014939851449794391,,,17.221466666666668,2.3697363404677168,0.3000000000000007,0.2434763912300736
2109,30C,3393.142857142857,912.3697782395566,0.1244168383614873,0.0017167469425319896,36.7879540271382,1.2298139788327203,2.25672,0.36454182997291257,237.86904761904762,20.08519976084651
2109,50C,51.02461805555556,17.890034306474046,0.3268315070930117,0.10045944121441854,120.94447889053345,45.670911581413606,5.8642875,3.065274653679775,1.0345833333333343,1.1486727333552884
2125,30C,132.9537037037037,15.091074423757066,0.2882075996708703,0.0118808086452708,78.95524754832469,3.057096936300735,0.4526213333333333,0.4743946362316224,5.833796296296295,2.4481825755234645
2125,50C,13.374310846560846,4.448638446087042,0.6090606624678948,0.09880185720025939,0.07751461536777834,0.006390700924672336,35.63533333333333,12.96923124565729,0.2014166666666668,0.3410993562487817
3610,30C,8047.454861111111,3022.05854215701,0.07672789774894118,0.002120114467692325,15.243944721603901,8.867288853830926,1.3412250000000001,0.16183065768471275,1204.9784722222223,470.2092103468249
3610,50C,10.4488,5.379509182743555,0.7065580552248523,0.10072636612071827,0.07063465065818542,0.008641575636437516,37.507600000000004,14.3814116026557,0.08196111111111115,0.07139597443760419
