Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1624,0.05693,179.4,21.33,0.0997622,10.00
0.1624,0.04469,178.7,20.47,0.100916,7.943
0.1624,0.03217,177.5,19.96,0.100782,6.310
0.1624,0.01950,175.0,19.36,0.100447,5.012
0.1624,8.296E-003,172.6,18.40,0.0994792,3.981
0.1624,-2.059E-003,170.0,17.75,0.0998869,3.162
0.1624,-3.403E-003,168.6,16.72,0.0996240,2.512
0.1624,-6.433E-003,166.7,16.27,0.102303,1.995
0.1624,-0.01180,164.5,15.74,0.100211,1.585
0.1624,-0.01809,161.5,15.69,0.100939,1.259
0.1624,-0.01979,160.0,15.08,0.100368,1.000
0.1624,-0.01924,157.8,14.79,0.0991113,0.7943
0.1624,-0.02324,156.5,14.49,0.0987161,0.6310
0.1624,-0.02867,153.5,14.23,0.0981902,0.5012
0.1624,-0.03003,152.0,14.75,0.0993751,0.3981
0.1624,-0.03202,150.5,14.60,0.101132,0.3162
0.1624,-0.03393,148.0,14.55,0.0999373,0.2512
0.1624,-0.03617,142.6,30.88,0.0936232,0.1995
0.1624,-0.03731,133.9,23.51,0.0848631,0.1585
0.1624,-0.04346,140.0,16.87,0.0753780,0.1259
0.1624,-0.04645,149.2,20.83,0.0654161,0.1000
0.1624,-0.04822,165.3,14.85,4.28614E-004,1.000
0.1624,-0.04818,156.7,15.66,0.0109823,1.000
0.1624,-0.04960,156.9,13.84,0.0143530,1.000
0.1624,-0.05443,156.8,13.78,0.0185224,1.000
0.1624,-0.05026,156.8,13.81,0.0253848,1.000
0.1624,-0.05240,157.9,13.86,0.0322692,1.000
0.1624,-0.05398,157.8,14.29,0.0389441,1.000
0.1624,-0.05416,157.9,14.08,0.0485293,1.000
0.1624,-0.05598,157.9,14.24,0.0623966,1.000
0.1624,-0.06029,157.6,14.54,0.0804987,1.000
0.1624,-0.06381,156.9,14.83,0.0996997,1.000
0.1624,-0.06002,157.7,14.31,0.124537,1.000
0.1624,-0.06119,158.2,13.96,0.159104,1.000
0.1624,-0.06265,158.3,14.07,0.198594,1.000
0.1624,-0.06109,158.2,13.97,0.249752,1.000
0.1624,-0.06405,157.6,14.21,0.315753,1.000
0.1624,-0.06723,156.5,14.49,0.397991,1.000
0.1624,-0.07008,155.0,14.79,0.501457,1.000
0.1624,-0.06927,153.7,14.76,0.630427,1.000
0.1624,-0.06945,152.1,14.74,0.794376,1.000
0.1624,-0.06828,149.5,14.89,0.999812,1.000
0.1624,-0.07083,146.1,15.13,1.26002,1.000
0.1624,-0.07047,141.3,15.45,1.58486,1.000
0.1624,-0.07196,135.4,15.89,1.99547,1.000
0.1624,-0.07075,129.4,16.12,2.51288,1.000
0.1624,-0.07014,123.6,16.52,3.16363,1.000
0.1624,-0.06906,117.0,16.95,3.98344,1.000
0.1624,-0.05775,109.9,17.18,5.01391,1.000
0.1624,-0.05993,102.2,17.43,6.31644,1.000
0.1624,-0.05908,93.55,17.59,7.95760,1.000
0.1624,-0.05486,84.80,17.67,10.0135,1.000
0.1624,-0.05271,75.66,17.42,12.6216,1.000
0.1624,-0.04815,66.59,16.98,15.8805,1.000
0.1624,-0.04565,57.32,16.61,20.0162,1.000
0.1624,-0.04108,48.26,16.18,25.2152,1.000
0.1624,-0.03524,39.53,15.81,31.7619,1.000
0.1624,-0.03258,31.25,15.47,40.0341,1.000
0.1624,-0.02671,24.05,14.94,50.4399,1.000
0.1624,-0.02743,17.93,14.10,63.5308,1.000
0.1624,-0.02681,13.10,12.88,79.9806,1.000
0.1624,-0.02747,9.540,11.43,100.639,1.000
0.1624,-0.02781,7.014,9.963,126.554,1.000
0.1624,-0.02809,5.220,8.596,159.117,1.000
0.1624,-0.02943,3.943,7.380,200.102,1.000
0.1624,-0.02973,3.640,6.751,200.340,1.000
