Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1999,0.04897,207.4,29.15,0.100262,10.00
0.1999,0.02531,206.6,28.88,0.101117,7.943
0.1999,9.601E-003,205.8,27.67,0.100507,6.310
0.1999,-2.569E-003,204.0,27.29,0.100066,5.012
0.1999,-0.01151,202.4,26.47,0.100454,3.981
0.1999,-0.02161,200.1,25.45,0.100730,3.162
0.1999,-0.02862,197.8,24.25,0.100169,2.512
0.1999,-0.03385,195.8,23.61,0.0995455,1.995
0.1999,-0.03985,192.9,23.00,0.100777,1.585
0.1999,-0.04633,190.4,22.76,0.0999962,1.259
0.1999,-0.04893,186.3,20.95,0.0994326,1.000
0.1999,-0.05270,183.3,20.40,0.0997942,0.7943
0.1999,-0.05619,181.7,21.43,0.0997050,0.6310
0.1999,-0.06066,178.0,21.00,0.101303,0.5012
0.1999,-0.06484,175.9,19.82,0.100599,0.3981
0.1999,-0.06820,174.0,21.23,0.0998577,0.3162
0.1999,-0.07049,170.0,19.81,0.100283,0.2512
0.1999,-0.06976,160.8,21.50,0.0937177,0.1995
0.1999,-0.07135,159.3,17.72,0.0804812,0.1585
0.1999,-0.07648,159.5,24.03,0.0746512,0.1259
0.1999,-0.07749,161.2,32.03,0.0687775,0.1000
0.1999,-0.07935,185.7,37.21,1.61229E-003,1.000
0.1999,-0.08231,187.9,21.67,0.0127494,1.000
0.1999,-0.07998,187.9,20.63,0.0163332,1.000
0.1999,-0.08190,188.5,21.35,0.0205964,1.000
0.1999,-0.08246,188.0,20.66,0.0255901,1.000
0.1999,-0.08425,188.3,21.20,0.0319281,1.000
0.1999,-0.08546,188.5,20.77,0.0402357,1.000
0.1999,-2.059E-004,185.1,20.76,0.0498397,1.000
0.1999,-0.01359,187.5,20.31,0.0634698,1.000
0.1999,-0.02277,188.1,20.08,0.0793512,1.000
0.1999,-0.03047,187.5,20.52,0.0996316,1.000
0.1999,-0.03800,188.3,20.15,0.126041,1.000
0.1999,-0.04715,188.1,20.38,0.158577,1.000
0.1999,-0.04006,186.9,20.56,0.202275,1.000
0.1999,-0.04760,187.8,20.60,0.252493,1.000
0.1999,-0.05179,187.3,20.45,0.316374,1.000
0.1999,-0.05922,186.5,20.54,0.397871,1.000
0.1999,-0.06382,185.5,20.61,0.501299,1.000
0.1999,-0.06836,184.0,20.75,0.630868,1.000
0.1999,-0.07433,182.0,20.85,0.794161,1.000
0.1999,-0.07748,179.3,20.88,1.00010,1.000
0.1999,-0.08101,175.0,20.90,1.25865,1.000
0.1999,-0.08145,170.7,20.86,1.58546,1.000
0.1999,-0.08549,165.7,20.95,1.99642,1.000
0.1999,-0.08655,160.8,21.21,2.51296,1.000
0.1999,-0.08810,155.8,21.68,3.16404,1.000
0.1999,-0.08901,150.2,22.16,3.98373,1.000
0.1999,-0.08870,143.2,22.45,5.01627,1.000
0.1999,-0.08861,135.0,22.70,6.31646,1.000
0.1999,-0.08988,126.7,22.97,7.95371,1.000
0.1999,-0.08630,117.3,22.92,10.0092,1.000
0.1999,-0.08613,107.4,22.79,12.6167,1.000
0.1999,-0.08339,97.21,22.64,15.8644,1.000
0.1999,-0.07959,86.34,22.45,19.9807,1.000
0.1999,-0.07459,74.89,22.37,25.2073,1.000
0.1999,-0.07062,62.71,22.64,31.7334,1.000
0.1999,-0.06325,49.59,23.39,40.0320,1.000
0.1999,-0.05939,37.31,23.59,50.4518,1.000
0.1999,-0.05383,27.55,22.53,63.5331,1.000
0.1999,-0.04886,20.25,20.58,79.9635,1.000
0.1999,-0.04560,14.89,18.23,100.617,1.000
0.1999,-0.04332,10.96,15.83,126.560,1.000
0.1999,-0.04188,8.050,13.54,159.202,1.000
0.1999,-0.04343,5.910,11.46,200.280,1.000
0.1999,-0.04386,5.454,10.68,200.331,1.000
