Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1669,0.03253,115.9,34.09,0.0999629,10.00
0.1669,0.02502,104.5,31.23,0.100530,7.943
0.1669,0.02191,96.07,28.98,0.100606,6.310
0.1669,0.02031,89.90,26.83,0.100396,5.012
0.1669,0.01909,84.62,24.79,0.0993565,3.981
0.1669,0.01790,80.41,22.88,0.0997596,3.162
0.1669,0.01759,76.95,21.09,0.0996345,2.512
0.1669,0.01746,73.99,19.38,0.100703,1.995
0.1669,0.01768,71.47,17.91,0.0994191,1.585
0.1669,0.01597,69.11,16.52,0.101335,1.259
0.1669,0.01657,66.97,15.16,0.0999444,1.000
0.1669,0.01689,65.12,14.15,0.0985473,0.7943
0.1669,0.01592,63.47,12.88,0.101534,0.6310
0.1669,0.01550,61.87,12.27,0.100332,0.5012
0.1669,0.01543,59.96,11.32,0.100439,0.3981
0.1669,0.01504,58.89,10.60,0.100504,0.3162
0.1669,0.01493,57.35,10.41,0.0987474,0.2512
0.1669,0.01499,59.64,11.18,0.0888476,0.1995
0.1669,0.01395,55.93,11.37,0.0788240,0.1585
0.1669,0.01482,53.28,9.035,0.0746407,0.1259
0.1669,0.01546,52.95,8.406,0.0696285,0.1000
0.1669,0.01574,66.34,14.27,1.72159E-003,1.000
0.1669,0.01495,66.92,14.69,0.0111859,1.000
0.1669,0.01534,66.74,14.16,0.0144984,1.000
0.1669,0.01429,66.72,14.17,0.0180601,1.000
0.1669,0.01403,66.66,14.22,0.0250528,1.000
0.1669,0.01430,66.24,14.19,0.0320330,1.000
0.1669,0.01382,66.22,14.07,0.0403359,1.000
0.1669,0.01391,66.37,14.15,0.0513210,1.000
0.1669,0.01273,66.17,14.25,0.0639633,1.000
0.1669,0.01275,66.09,14.15,0.0796671,1.000
0.1669,0.01325,65.95,14.08,0.0990175,1.000
0.1669,0.01264,65.93,14.00,0.125301,1.000
0.1669,0.01326,65.78,13.98,0.159365,1.000
0.1669,0.01313,65.63,14.03,0.201320,1.000
0.1669,0.01349,65.38,13.99,0.252412,1.000
0.1669,0.01314,65.16,14.02,0.315451,1.000
0.1669,0.01287,64.89,14.05,0.397292,1.000
0.1669,0.01429,64.44,14.17,0.501342,1.000
0.1669,0.01324,63.73,14.26,0.631630,1.000
0.1669,0.01366,63.03,14.31,0.795357,1.000
0.1669,0.01364,62.00,14.41,1.00008,1.000
0.1669,0.01278,60.70,14.57,1.25947,1.000
0.1669,0.01279,59.15,14.78,1.58549,1.000
0.1669,0.01251,57.22,14.99,1.99621,1.000
0.1669,0.01274,54.83,15.15,2.51389,1.000
0.1669,0.01292,51.98,15.21,3.16514,1.000
0.1669,0.01362,48.99,15.26,3.98471,1.000
0.1669,0.01292,45.81,15.24,5.01736,1.000
0.1669,0.01477,42.43,15.06,6.31725,1.000
0.1669,0.01371,39.07,14.84,7.95867,1.000
0.1669,0.01331,35.69,14.51,10.0138,1.000
0.1669,0.01348,32.34,14.11,12.6146,1.000
0.1669,0.01492,29.07,13.74,15.8836,1.000
0.1669,0.01467,25.83,13.49,19.9925,1.000
0.1669,0.01476,22.63,13.32,25.1717,1.000
0.1669,0.01512,19.68,13.14,31.6896,1.000
0.1669,0.01445,17.12,12.94,39.8767,1.000
0.1669,0.01416,14.97,12.80,50.1832,1.000
0.1669,0.01444,13.12,12.76,63.1392,1.000
0.1669,0.01416,11.38,12.73,79.4588,1.000
0.1669,0.01533,9.589,12.51,100.037,1.000
0.1669,0.01524,7.774,11.92,125.972,1.000
0.1669,0.01462,6.043,10.92,158.674,1.000
0.1669,0.01463,4.516,9.607,199.860,1.000
0.1669,0.01523,4.301,9.274,200.211,1.000
