Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1001,-0.01151,254.4,37.85,0.100029,10.00
0.1001,-0.06529,250.4,37.10,0.101752,7.943
0.1001,-0.1024,248.2,36.07,0.101556,6.310
0.1001,-0.1259,247.5,34.87,0.0994819,5.012
0.1001,-0.1460,247.0,34.18,0.100635,3.981
0.1001,-0.1609,246.7,33.49,0.101376,3.162
0.1001,-0.1721,247.3,33.17,0.100520,2.512
0.1001,-0.1879,246.8,33.18,0.101079,1.995
0.1001,-0.2019,247.4,32.66,0.0975152,1.585
0.1001,-0.2109,247.7,32.74,0.100306,1.259
0.1001,-0.2191,247.3,32.17,0.0977319,1.000
0.1001,-0.2252,247.5,32.45,0.0989970,0.7943
0.1001,-0.2338,249.1,33.83,0.100038,0.6310
0.1001,-0.2504,248.6,32.94,0.100283,0.5012
0.1001,-0.2535,246.2,36.75,0.101280,0.3981
0.1001,-0.2673,247.0,36.04,0.101119,0.3162
0.1001,-0.2815,245.7,36.12,0.0989714,0.2512
0.1001,-0.2897,232.7,45.73,0.0928434,0.1995
0.1001,-0.3027,233.5,39.56,0.0781545,0.1585
0.1001,-0.3154,240.2,48.14,0.0758512,0.1259
0.1001,-0.3198,250.1,64.75,0.0669890,0.1000
0.1001,-0.3251,235.7,125.9,2.39110E-004,1.000
0.1001,-0.3317,303.1,49.63,8.38597E-003,1.000
0.1001,-0.3440,309.4,39.01,0.0156616,1.000
0.1001,-0.3483,313.9,41.21,0.0217812,1.000
0.1001,-0.3517,317.9,43.22,0.0269468,1.000
0.1001,-0.3576,321.9,43.78,0.0317539,1.000
0.1001,-0.2956,326.0,44.35,0.0407421,1.000
0.1001,-0.2779,8.053,31.84,0.334203,1.000
0.1001,-0.3080,301.2,49.67,0.0597231,1.000
0.1001,-0.3336,307.1,45.65,0.0813779,1.000
0.1001,-0.3512,312.1,44.97,0.100716,1.000
0.1001,-0.3654,316.0,44.11,0.127185,1.000
0.1001,-0.3755,310.4,38.20,0.157989,1.000
0.1001,-0.3742,315.5,39.21,0.199694,1.000
0.1001,-0.3789,318.0,40.79,0.251191,1.000
0.1001,-0.3826,318.7,40.93,0.316892,1.000
0.1001,-0.3821,318.6,40.99,0.398209,1.000
0.1001,-0.3858,317.3,41.09,0.501399,1.000
0.1001,-0.3887,315.9,41.01,0.631997,1.000
0.1001,-0.3861,313.4,40.93,0.794359,1.000
0.1001,-0.3846,310.5,40.75,1.00120,1.000
0.1001,-0.3831,305.6,40.89,1.25925,1.000
0.1001,-0.3856,298.9,41.24,1.58576,1.000
0.1001,-0.3869,290.7,41.44,1.99644,1.000
0.1001,-0.3843,280.6,41.63,2.51117,1.000
0.1001,-0.3851,268.6,41.94,3.16535,1.000
0.1001,-0.3818,255.7,42.09,3.98395,1.000
0.1001,-0.3741,241.9,42.36,5.01565,1.000
0.1001,-0.3683,226.9,42.43,6.31906,1.000
0.1001,-0.3638,209.9,42.46,7.95339,1.000
0.1001,-0.3547,191.9,42.04,10.0194,1.000
0.1001,-0.3435,172.2,41.36,12.6207,1.000
0.1001,-0.3230,151.9,40.53,15.8871,1.000
0.1001,-0.3052,129.3,39.70,20.0402,1.000
0.1001,-0.2810,104.0,39.36,25.2581,1.000
0.1001,-0.2588,77.73,39.53,31.8951,1.000
0.1001,-0.2295,54.50,38.46,40.2159,1.000
0.1001,-0.2146,38.12,35.46,50.6510,1.000
0.1001,-0.1975,27.24,31.62,63.6999,1.000
0.1001,-0.1762,19.62,27.62,80.1186,1.000
0.1001,-0.1579,14.16,23.75,100.740,1.000
0.1001,-0.1401,10.22,20.18,126.756,1.000
0.1001,-0.1250,7.413,17.01,159.516,1.000
0.1001,-0.1133,5.422,14.30,200.718,1.000
0.1001,-0.1137,5.051,13.32,200.619,1.000
