Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1416,0.03366,179.6,30.73,0.0999971,10.00
0.1416,0.01665,177.3,28.67,0.101247,7.943
0.1416,8.463E-003,174.1,27.31,0.103598,6.310
0.1416,-4.707E-004,170.5,25.54,0.101017,5.012
0.1416,-5.286E-003,168.0,23.99,0.100627,3.981
0.1416,-0.01349,164.2,22.44,0.100494,3.162
0.1416,-0.01634,160.8,21.29,0.0988321,2.512
0.1416,-0.02403,157.8,20.27,0.100610,1.995
0.1416,-0.02623,154.9,19.20,0.0991348,1.585
0.1416,-0.02932,153.2,18.06,0.0994891,1.259
0.1416,-0.03520,149.6,18.08,0.0997646,1.000
0.1416,-0.03821,147.5,17.41,0.102522,0.7943
0.1416,-0.04487,143.8,17.69,0.0994861,0.6310
0.1416,-0.04699,142.3,17.63,0.102486,0.5012
0.1416,-0.05163,139.7,16.73,0.100344,0.3981
0.1416,-0.05228,138.2,17.34,0.100609,0.3162
0.1416,-0.05616,136.5,17.77,0.0986022,0.2512
0.1416,-0.06013,135.3,30.80,0.0913197,0.1995
0.1416,-0.05687,129.2,26.18,0.0790878,0.1585
0.1416,-0.06081,133.4,21.75,0.0739284,0.1259
0.1416,-0.07049,136.8,21.91,0.0676465,0.1000
0.1416,-0.07238,161.3,36.01,6.63081E-004,1.000
0.1416,-0.06507,154.4,20.80,9.14942E-003,1.000
0.1416,-0.06457,155.9,19.33,0.0168523,1.000
0.1416,-0.06987,156.3,18.90,0.0213559,1.000
0.1416,-0.07196,157.0,19.64,0.0248004,1.000
0.1416,-0.08038,156.6,19.73,0.0322689,1.000
0.1416,-0.08199,157.8,19.92,0.0392837,1.000
0.1416,-0.08395,158.4,19.44,0.0509716,1.000
0.1416,-0.08669,159.1,19.95,0.0634548,1.000
0.1416,-0.08859,160.1,20.10,0.0777111,1.000
0.1416,-0.09014,161.3,19.93,0.0990578,1.000
0.1416,-0.08887,162.6,20.25,0.126234,1.000
0.1416,-0.08966,163.9,20.10,0.158544,1.000
0.1416,-0.09199,164.4,20.48,0.197123,1.000
0.1416,-0.05777,164.7,20.70,0.251360,1.000
0.1416,-0.07148,167.4,20.12,0.315853,1.000
0.1416,-0.07871,167.8,20.67,0.398082,1.000
0.1416,-0.08465,167.7,21.09,0.500891,1.000
0.1416,-0.08932,166.6,21.61,0.631217,1.000
0.1416,-0.09442,165.0,22.03,0.794055,1.000
0.1416,-0.09532,162.9,22.30,0.999157,1.000
0.1416,-0.09954,159.4,22.75,1.25878,1.000
0.1416,-0.09999,154.8,23.13,1.58429,1.000
0.1416,-0.09943,149.2,23.32,1.99430,1.000
0.1416,-0.09729,142.9,23.61,2.51088,1.000
0.1416,-0.09699,135.9,23.92,3.16203,1.000
0.1416,-0.09596,128.1,24.32,3.98183,1.000
0.1416,-0.09783,119.2,24.69,5.01384,1.000
0.1416,-0.09312,110.0,24.69,6.31285,1.000
0.1416,-0.09160,100.2,24.45,7.95204,1.000
0.1416,-0.08905,90.17,24.10,10.0135,1.000
0.1416,-0.08483,79.99,23.41,12.6121,1.000
0.1416,-0.07945,69.68,22.60,15.8898,1.000
0.1416,-0.07546,59.29,21.73,20.0255,1.000
0.1416,-0.07176,49.21,20.78,25.2349,1.000
0.1416,-0.06545,39.98,19.74,31.7925,1.000
0.1416,-0.06138,31.85,18.60,40.0634,1.000
0.1416,-0.05693,24.97,17.43,50.4755,1.000
0.1416,-0.05466,19.26,16.17,63.5504,1.000
0.1416,-0.05482,14.70,14.78,80.0228,1.000
0.1416,-0.05351,11.17,13.31,100.711,1.000
0.1416,-0.05516,8.479,11.83,126.709,1.000
0.1416,-0.05644,6.467,10.43,159.328,1.000
0.1416,-0.05873,4.958,9.134,200.333,1.000
0.1416,-0.06020,4.563,8.431,200.451,1.000
