Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.0508,0.02282,152.9,40.99,0.100066,10.00
0.0508,0.01170,147.1,38.16,0.0997510,7.943
0.0508,4.982E-003,141.5,35.80,0.101592,6.310
0.0508,6.669E-004,136.8,33.55,0.100938,5.012
0.0508,-6.865E-005,131.8,31.22,0.103283,3.981
0.0508,-1.961E-003,127.0,29.74,0.101350,3.162
0.0508,6.080E-004,123.4,27.52,0.0996789,2.512
0.0508,0.01326,105.2,26.88,0.111235,1.995
0.0508,4.933E-003,115.9,23.71,0.105763,1.585
0.0508,6.767E-004,114.3,21.53,0.101624,1.259
0.0508,-1.883E-003,114.2,20.68,0.100395,1.000
0.0508,-3.364E-003,110.2,19.60,0.102002,0.7943
0.0508,-3.030E-003,106.7,18.12,0.103019,0.6310
0.0508,-3.540E-003,106.5,17.94,0.0961171,0.5012
0.0508,-7.159E-004,104.4,18.65,0.100401,0.3981
0.0508,-1.226E-003,101.0,16.55,0.103850,0.3162
0.0508,6.894E-003,97.80,18.71,0.103708,0.2512
0.0508,0.01017,91.31,22.61,0.0927075,0.1995
0.0508,8.051E-003,91.50,15.91,0.0911617,0.1585
0.0508,-1.236E-003,100.5,12.95,0.0743429,0.1259
0.0508,-5.041E-003,103.5,16.45,0.0689387,0.1000
0.0508,-4.619E-003,29.42,20.42,2.29108E-004,1.000
0.0508,-6.080E-004,92.22,39.66,5.18725E-004,1.000
0.0508,2.040E-003,122.0,19.61,6.10242E-003,1.000
0.0508,-1.981E-003,119.3,16.99,0.0193200,1.000
0.0508,6.472E-004,119.2,16.21,0.0262558,1.000
0.0508,-6.472E-004,117.8,17.91,0.0342845,1.000
0.0508,-2.216E-003,117.5,16.46,0.0433152,1.000
0.0508,7.777E-003,115.0,17.09,0.0516786,1.000
0.0508,9.434E-003,113.9,16.97,0.0612966,1.000
0.0508,4.344E-003,112.7,17.47,0.0774749,1.000
0.0508,5.825E-003,109.5,19.86,0.104804,1.000
0.0508,5.090E-003,105.5,22.45,0.130108,1.000
0.0508,1.961E-003,99.41,25.03,0.163238,1.000
0.0508,-1.775E-003,93.13,26.51,0.196013,1.000
0.0508,-3.658E-003,86.28,26.80,0.247833,1.000
0.0508,-3.373E-003,80.73,25.94,0.317112,1.000
0.0508,-3.050E-003,76.38,24.76,0.400849,1.000
0.0508,-3.324E-003,72.97,23.79,0.505617,1.000
0.0508,-2.844E-003,70.05,22.64,0.633520,1.000
0.0508,-3.746E-003,65.14,21.97,0.792511,1.000
0.0508,-1.226E-003,63.84,20.58,0.999054,1.000
0.0508,4.393E-003,61.82,19.80,1.25671,1.000
0.0508,5.894E-003,59.27,18.97,1.58278,1.000
0.0508,4.148E-003,56.69,18.53,1.99543,1.000
0.0508,7.061E-004,53.83,18.08,2.51051,1.000
0.0508,-1.177E-003,50.89,17.42,3.16311,1.000
0.0508,-2.785E-003,47.52,16.81,3.98529,1.000
0.0508,-1.981E-003,43.85,16.13,5.01407,1.000
0.0508,-2.991E-003,40.42,15.64,6.31388,1.000
0.0508,-3.011E-003,36.94,15.01,7.95452,1.000
0.0508,3.344E-003,33.54,14.28,10.0103,1.000
0.0508,-5.982E-004,30.35,13.66,12.6108,1.000
0.0508,-1.255E-003,27.25,12.98,15.8781,1.000
0.0508,-1.520E-003,24.12,12.26,19.9936,1.000
0.0508,-3.236E-004,20.52,11.22,25.1303,1.000
0.0508,-1.314E-003,18.00,10.55,31.7044,1.000
0.0508,7.159E-004,15.61,9.969,39.8995,1.000
0.0508,-7.845E-005,13.43,9.520,50.2580,1.000
0.0508,-1.079E-004,11.39,9.184,63.2454,1.000
0.0508,5.394E-004,9.551,8.977,79.6080,1.000
0.0508,-1.040E-003,7.931,8.841,100.211,1.000
0.0508,5.590E-004,6.557,8.563,126.022,1.000
0.0508,-3.432E-004,5.355,8.221,158.569,1.000
0.0508,1.961E-004,4.316,7.775,199.547,1.000
0.0508,-2.746E-004,4.329,7.806,199.945,1.000
