Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1592,9.964E-003,251.1,46.16,0.100181,10.00
0.1592,1.500E-003,229.0,44.32,0.101044,7.943
0.1592,-6.011E-003,212.9,42.83,0.100402,6.310
0.1592,-9.983E-003,200.6,41.18,0.0995426,5.012
0.1592,-0.01664,191.1,39.34,0.100005,3.981
0.1592,-0.01709,183.7,37.57,0.100309,3.162
0.1592,-0.02519,177.4,36.24,0.100580,2.512
0.1592,-0.03184,171.5,34.69,0.0988717,1.995
0.1592,-0.03153,166.4,33.39,0.0996951,1.585
0.1592,-0.03232,161.8,32.24,0.0999125,1.259
0.1592,-0.04096,155.9,31.52,0.100417,1.000
0.1592,-0.04637,151.5,30.47,0.100079,0.7943
0.1592,-0.04032,149.0,29.23,0.0988036,0.6310
0.1592,-0.04564,144.8,27.48,0.0987468,0.5012
0.1592,-0.04907,141.1,29.35,0.100020,0.3981
0.1592,-0.05287,136.5,27.60,0.100110,0.3162
0.1592,-0.05541,134.3,27.18,0.0986257,0.2512
0.1592,-0.05722,127.3,39.60,0.0928544,0.1995
0.1592,-0.06184,121.1,31.08,0.0814598,0.1585
0.1592,-0.06517,122.2,28.49,0.0745849,0.1259
0.1592,-0.06434,129.8,27.22,0.0664918,0.1000
0.1592,-0.06869,154.5,37.26,9.78424E-004,1.000
0.1592,-0.06910,157.7,30.57,0.0107665,1.000
0.1592,-0.06975,157.4,30.76,0.0173993,1.000
0.1592,-0.06826,157.5,30.76,0.0206244,1.000
0.1592,-0.06747,157.9,30.71,0.0237241,1.000
0.1592,-0.06897,158.0,30.09,0.0312672,1.000
0.1592,-0.07253,157.5,30.66,0.0413451,1.000
0.1592,-0.07129,157.3,30.56,0.0511455,1.000
0.1592,-0.07365,157.4,30.65,0.0625138,1.000
0.1592,-0.07623,157.0,30.33,0.0784227,1.000
0.1592,-0.07735,157.0,30.46,0.0995974,1.000
0.1592,-0.07609,157.2,30.21,0.126913,1.000
0.1592,-0.07854,156.9,30.49,0.158961,1.000
0.1592,-0.07979,156.6,30.57,0.200538,1.000
0.1592,-0.08447,156.1,30.78,0.251272,1.000
0.1592,-0.07664,156.9,30.33,0.316143,1.000
0.1592,-0.07754,156.4,30.61,0.398485,1.000
0.1592,-0.07990,155.4,31.09,0.500864,1.000
0.1592,-0.07909,154.4,31.26,0.631434,1.000
0.1592,-0.08137,152.7,31.22,0.795026,1.000
0.1592,-0.07989,151.6,31.54,1.00037,1.000
0.1592,-0.08281,149.8,32.26,1.25994,1.000
0.1592,-0.08318,147.2,33.07,1.58552,1.000
0.1592,-0.08036,143.5,33.78,1.99660,1.000
0.1592,-0.08068,138.5,34.40,2.51406,1.000
0.1592,-0.08076,131.2,34.90,3.16590,1.000
0.1592,-0.07747,122.4,35.03,3.98634,1.000
0.1592,-0.07540,113.0,34.84,5.01898,1.000
0.1592,-0.07169,103.3,34.88,6.32159,1.000
0.1592,-0.06870,93.36,34.98,7.96307,1.000
0.1592,-0.06534,83.01,34.63,10.0266,1.000
0.1592,-0.06055,72.71,34.28,12.6388,1.000
0.1592,-0.05472,62.70,33.77,15.8899,1.000
0.1592,-0.05313,53.15,33.02,20.0380,1.000
0.1592,-0.05204,44.35,31.85,25.2277,1.000
0.1592,-0.04932,36.54,30.28,31.7385,1.000
0.1592,-0.04849,29.76,28.36,39.9574,1.000
0.1592,-0.04714,24.04,26.18,50.3060,1.000
0.1592,-0.04793,19.27,23.87,63.3241,1.000
0.1592,-0.04803,15.35,21.54,79.6513,1.000
0.1592,-0.04827,12.14,19.26,100.248,1.000
0.1592,-0.04764,9.532,17.08,126.143,1.000
0.1592,-0.04684,7.437,15.04,158.731,1.000
0.1592,-0.04618,5.755,13.14,199.825,1.000
0.1592,-0.04656,5.612,12.82,200.179,1.000
