Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1983,0.05973,257.3,28.68,0.0999575,10.00
0.1983,0.03516,235.5,27.79,0.100837,7.943
0.1983,0.01977,221.2,27.44,0.101984,6.310
0.1983,7.502E-003,211.8,26.46,0.100031,5.012
0.1983,-1.922E-003,204.9,25.22,0.100241,3.981
0.1983,-8.316E-003,199.5,24.24,0.100101,3.162
0.1983,-0.01394,194.9,23.13,0.100084,2.512
0.1983,-0.01930,191.0,22.22,0.100197,1.995
0.1983,-0.02556,187.5,21.50,0.0993120,1.585
0.1983,-0.03153,183.8,21.00,0.0996831,1.259
0.1983,-0.03509,180.6,20.54,0.0990679,1.000
0.1983,-0.03771,177.9,20.02,0.0998168,0.7943
0.1983,-0.04333,174.8,19.82,0.101115,0.6310
0.1983,-0.04666,172.4,21.03,0.0990971,0.5012
0.1983,-0.04836,169.5,18.67,0.0999685,0.3981
0.1983,-0.05328,168.0,18.82,0.0995939,0.3162
0.1983,-0.05649,164.0,19.03,0.0995162,0.2512
0.1983,-0.05552,158.2,37.40,0.0917296,0.1995
0.1983,-0.05776,146.7,29.75,0.0828197,0.1585
0.1983,-0.06045,158.1,22.31,0.0733677,0.1259
0.1983,-0.06122,168.6,22.83,0.0654747,0.1000
0.1983,-0.06358,177.9,26.67,1.41473E-003,1.000
0.1983,-0.06414,180.1,19.58,0.0120881,1.000
0.1983,-0.06464,180.5,19.88,0.0166288,1.000
0.1983,-0.06748,180.1,19.72,0.0210471,1.000
0.1983,-0.06703,180.9,19.26,0.0251384,1.000
0.1983,-0.06894,181.1,18.75,0.0298416,1.000
0.1983,-0.06967,181.2,19.15,0.0399115,1.000
0.1983,-0.06578,182.4,19.14,0.0510775,1.000
0.1983,-0.06485,183.5,19.65,0.0646622,1.000
0.1983,-0.06769,183.9,20.10,0.0804949,1.000
0.1983,-0.07077,183.7,19.90,0.0984322,1.000
0.1983,-0.07097,183.4,19.79,0.124995,1.000
0.1983,-0.07272,183.9,19.96,0.158027,1.000
0.1983,-0.07383,184.3,20.04,0.199890,1.000
0.1983,-0.06303,184.8,20.01,0.252627,1.000
0.1983,-0.06510,184.7,19.83,0.316537,1.000
0.1983,-0.06364,184.6,19.92,0.397703,1.000
0.1983,-0.06893,183.7,20.24,0.501644,1.000
0.1983,-0.06733,182.8,20.40,0.630532,1.000
0.1983,-0.06938,181.4,20.70,0.793483,1.000
0.1983,-0.07024,179.9,21.06,1.00025,1.000
0.1983,-0.07090,178.1,21.58,1.25836,1.000
0.1983,-0.06644,176.2,22.22,1.58492,1.000
0.1983,-0.06699,173.7,23.05,1.99609,1.000
0.1983,-0.06364,169.8,23.84,2.51212,1.000
0.1983,-0.06330,163.2,24.44,3.16485,1.000
0.1983,-0.06299,155.3,24.83,3.98342,1.000
0.1983,-0.06500,147.1,25.40,5.01477,1.000
0.1983,-0.06461,138.0,25.74,6.31626,1.000
0.1983,-0.06187,128.0,25.67,7.95129,1.000
0.1983,-0.05944,117.9,25.61,10.0120,1.000
0.1983,-0.05863,107.1,25.32,12.6156,1.000
0.1983,-0.05241,96.25,24.78,15.8694,1.000
0.1983,-0.04703,85.01,24.31,19.9844,1.000
0.1983,-0.04528,73.06,24.02,25.2077,1.000
0.1983,-0.04158,60.38,24.10,31.7490,1.000
0.1983,-0.03502,47.62,24.16,40.0371,1.000
0.1983,-0.03231,36.17,23.68,50.4529,1.000
0.1983,-0.03240,26.92,22.41,63.5423,1.000
0.1983,-0.03164,19.81,20.46,80.0174,1.000
0.1983,-0.03044,14.53,18.18,100.705,1.000
0.1983,-0.03083,10.66,15.86,126.649,1.000
0.1983,-0.03127,7.863,13.66,159.276,1.000
0.1983,-0.03378,5.855,11.68,200.337,1.000
0.1983,-0.03483,5.411,10.77,200.359,1.000
