Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1215,0.03146,31.78,5.262,0.0998159,10.00
0.1215,0.02432,24.77,7.508,0.101587,7.943
0.1215,0.01896,20.17,7.420,0.100900,6.310
0.1215,0.01641,16.99,7.320,0.102125,5.012
0.1215,0.01316,14.66,7.032,0.0998231,3.981
0.1215,0.01180,12.82,6.880,0.0993577,3.162
0.1215,0.01086,11.34,6.569,0.101086,2.512
0.1215,8.718E-003,10.16,6.220,0.100759,1.995
0.1215,7.335E-003,9.064,5.871,0.102099,1.585
0.1215,7.375E-003,8.100,5.559,0.100584,1.259
0.1215,6.345E-003,7.292,5.218,0.103172,1.000
0.1215,6.129E-003,6.468,4.947,0.100138,0.7943
0.1215,5.972E-003,5.783,4.524,0.102585,0.6310
0.1215,5.158E-003,5.071,4.261,0.0978445,0.5012
0.1215,4.952E-003,4.425,3.943,0.100368,0.3981
0.1215,4.148E-003,4.072,3.556,0.100315,0.3162
0.1215,3.521E-003,3.494,3.509,0.100004,0.2512
0.1215,2.805E-003,2.743,3.157,0.0890529,0.1995
0.1215,3.628E-003,2.099,2.659,0.0795030,0.1585
0.1215,2.667E-003,1.921,2.666,0.0839088,0.1259
0.1215,1.834E-003,2.300,2.715,0.0615355,0.1000
0.1215,2.363E-003,6.703,4.037,4.30703E-003,1.000
0.1215,2.010E-003,7.219,5.129,0.0131028,1.000
0.1215,1.922E-003,7.415,5.201,0.0171674,1.000
0.1215,1.500E-003,6.977,5.121,0.0207721,1.000
0.1215,1.746E-003,7.243,5.189,0.0253005,1.000
0.1215,2.128E-003,7.311,5.150,0.0296998,1.000
0.1215,1.275E-003,7.294,5.204,0.0388463,1.000
0.1215,6.080E-004,7.364,5.270,0.0504802,1.000
0.1215,5.884E-005,7.247,5.178,0.0632596,1.000
0.1215,-2.452E-004,7.309,5.264,0.0776224,1.000
0.1215,5.786E-004,7.265,5.202,0.0976744,1.000
0.1215,-2.256E-004,7.311,5.216,0.123986,1.000
0.1215,1.961E-004,7.315,5.228,0.158746,1.000
0.1215,-3.923E-004,7.301,5.227,0.201008,1.000
0.1215,1.569E-004,7.286,5.232,0.249420,1.000
0.1215,-1.863E-004,7.284,5.219,0.314359,1.000
0.1215,4.609E-004,7.288,5.218,0.398309,1.000
0.1215,9.611E-004,7.293,5.229,0.501873,1.000
0.1215,5.394E-004,7.278,5.222,0.631173,1.000
0.1215,-7.845E-004,7.291,5.216,0.793649,1.000
0.1215,6.080E-004,7.286,5.238,0.997206,1.000
0.1215,-3.530E-004,7.306,5.245,1.25639,1.000
0.1215,-8.826E-005,7.298,5.248,1.58633,1.000
0.1215,7.747E-004,7.290,5.231,1.99599,1.000
0.1215,1.961E-004,7.269,5.196,2.51375,1.000
0.1215,-2.648E-004,7.239,5.152,3.16138,1.000
0.1215,1.863E-004,7.216,5.122,3.97723,1.000
0.1215,-1.079E-004,7.223,5.134,5.01101,1.000
0.1215,-1.275E-004,7.247,5.187,6.31248,1.000
0.1215,5.590E-004,7.254,5.195,7.94354,1.000
0.1215,-1.569E-004,7.227,5.169,10.0004,1.000
0.1215,1.118E-003,7.204,5.164,12.5910,1.000
0.1215,2.256E-004,7.166,5.144,15.8447,1.000
0.1215,3.138E-004,7.129,5.143,19.9586,1.000
0.1215,5.198E-004,7.067,5.127,25.1090,1.000
0.1215,5.394E-004,6.985,5.114,31.6235,1.000
0.1215,1.961E-005,6.867,5.097,39.7989,1.000
0.1215,-1.961E-005,6.702,5.069,50.1197,1.000
0.1215,-9.807E-006,6.477,5.033,63.0923,1.000
0.1215,1.118E-003,6.180,4.981,79.4457,1.000
0.1215,1.138E-003,5.802,4.909,100.025,1.000
0.1215,1.030E-003,5.342,4.805,125.932,1.000
0.1215,1.265E-003,4.815,4.659,158.488,1.000
0.1215,3.040E-003,4.244,4.466,199.570,1.000
0.1215,1.324E-003,4.233,4.458,200.009,1.000
