Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1368,-9.503E-003,107.5,16.27,0.101069,10.00
0.1368,-0.02086,94.19,18.81,0.101159,7.943
0.1368,-0.02892,83.52,18.71,0.100602,6.310
0.1368,-0.03564,76.00,18.55,0.101426,5.012
0.1368,-0.04161,70.66,17.97,0.101237,3.981
0.1368,-0.04405,66.41,17.39,0.101827,3.162
0.1368,-0.04902,63.14,16.90,0.100393,2.512
0.1368,-0.05328,60.47,16.52,0.100635,1.995
0.1368,-0.05433,58.06,16.25,0.0997627,1.585
0.1368,-0.05884,55.88,15.86,0.0998633,1.259
0.1368,-0.06214,53.93,15.70,0.100548,1.000
0.1368,-0.06624,51.96,15.28,0.101356,0.7943
0.1368,-0.06677,50.16,14.91,0.100979,0.6310
0.1368,-0.06972,48.15,15.22,0.100991,0.5012
0.1368,-0.06996,46.99,14.39,0.101788,0.3981
0.1368,-0.07324,45.84,14.84,0.0992035,0.3162
0.1368,-0.07511,43.71,14.46,0.100428,0.2512
0.1368,-0.07716,40.22,14.48,0.0939437,0.1995
0.1368,-0.07917,38.08,13.06,0.0794060,0.1585
0.1368,-0.08135,37.95,14.83,0.0760791,0.1259
0.1368,-0.08216,38.06,16.61,0.0688382,0.1000
0.1368,-0.08428,63.44,22.09,4.67406E-004,1.000
0.1368,-0.08432,61.38,18.42,0.0100363,1.000
0.1368,-0.08632,62.64,17.29,0.0153092,1.000
0.1368,-0.08779,62.91,17.50,0.0195976,1.000
0.1368,-0.08838,64.00,17.41,0.0257512,1.000
0.1368,-0.08923,64.45,17.74,0.0328584,1.000
0.1368,-0.09102,65.13,17.82,0.0394277,1.000
0.1368,-0.09158,66.15,18.22,0.0485537,1.000
0.1368,-0.09362,67.22,18.46,0.0634955,1.000
0.1368,-0.09407,68.12,18.67,0.0793641,1.000
0.1368,-0.09433,68.94,18.76,0.0984922,1.000
0.1368,-0.09567,69.74,18.97,0.125704,1.000
0.1368,-0.09705,70.44,19.31,0.158524,1.000
0.1368,-0.09695,71.20,19.57,0.197419,1.000
0.1368,-0.09602,71.78,19.82,0.248772,1.000
0.1368,-0.09654,72.25,20.17,0.316171,1.000
0.1368,-0.09942,72.73,20.52,0.394863,1.000
0.1368,-0.1002,73.00,20.79,0.497927,1.000
0.1368,-0.1009,73.09,20.97,0.630951,1.000
0.1368,-0.09978,73.31,21.32,0.793488,1.000
0.1368,-0.1013,73.34,21.67,0.998500,1.000
0.1368,-0.1015,73.27,22.00,1.25745,1.000
0.1368,-0.1013,73.10,22.36,1.58249,1.000
0.1368,-0.1034,72.43,22.61,1.99388,1.000
0.1368,-0.1041,71.48,22.82,2.51016,1.000
0.1368,-0.1029,70.20,23.03,3.16020,1.000
0.1368,-0.1026,68.39,23.13,3.97986,1.000
0.1368,-0.1051,65.73,22.98,5.01147,1.000
0.1368,-0.1037,62.66,22.78,6.30955,1.000
0.1368,-0.1020,59.44,22.65,7.94582,1.000
0.1368,-0.1036,55.72,22.29,10.0065,1.000
0.1368,-0.1025,51.61,21.83,12.6018,1.000
0.1368,-0.1038,47.28,21.29,15.8718,1.000
0.1368,-0.1033,42.72,20.65,19.9988,1.000
0.1368,-0.1016,38.10,19.86,25.1818,1.000
0.1368,-0.08593,33.59,18.95,31.6993,1.000
0.1368,-0.09361,29.53,17.97,39.8896,1.000
0.1368,-0.09510,25.71,16.87,50.2222,1.000
0.1368,-0.09667,22.06,15.59,63.2389,1.000
0.1368,-0.09666,18.73,14.32,79.5796,1.000
0.1368,-0.09575,15.66,13.05,100.189,1.000
0.1368,-0.09665,12.87,11.83,126.086,1.000
0.1368,-0.09743,10.40,10.63,158.701,1.000
0.1368,-0.09880,8.270,9.510,199.744,1.000
0.1368,-0.09933,8.111,9.446,200.100,1.000
