Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1546,0.01379,63.54,14.45,0.0998776,10.00
0.1546,6.580E-003,54.78,14.84,0.100889,7.943
0.1546,4.335E-003,49.00,14.96,0.100635,6.310
0.1546,2.285E-003,44.96,14.79,0.101454,5.012
0.1546,1.147E-003,41.80,14.64,0.100449,3.981
0.1546,-7.747E-004,39.17,14.33,0.101118,3.162
0.1546,-1.589E-003,36.86,13.95,0.0995212,2.512
0.1546,-3.246E-003,34.72,13.70,0.100884,1.995
0.1546,-3.168E-003,32.69,13.34,0.101796,1.585
0.1546,-3.707E-003,30.79,13.02,0.100265,1.259
0.1546,-4.442E-003,28.98,12.67,0.0999338,1.000
0.1546,-4.756E-003,27.29,12.44,0.0991711,0.7943
0.1546,-5.364E-003,25.41,12.10,0.0991818,0.6310
0.1546,-5.874E-003,23.74,11.58,0.100298,0.5012
0.1546,-6.286E-003,22.15,11.24,0.100754,0.3981
0.1546,-6.414E-003,20.49,11.12,0.100686,0.3162
0.1546,-6.982E-003,19.62,10.39,0.0988560,0.2512
0.1546,-7.355E-003,17.31,11.44,0.0914518,0.1995
0.1546,-7.747E-003,15.56,10.40,0.0823954,0.1585
0.1546,-8.767E-003,14.70,9.068,0.0772423,0.1259
0.1546,-8.718E-003,13.94,8.540,0.0667275,0.1000
0.1546,-9.081E-003,24.61,22.56,1.55223E-003,1.000
0.1546,-8.355E-003,30.53,13.36,0.0130749,1.000
0.1546,-9.091E-003,30.26,12.92,0.0151272,1.000
0.1546,-8.953E-003,30.33,12.22,0.0205249,1.000
0.1546,-9.061E-003,30.21,12.95,0.0268692,1.000
0.1546,-9.287E-003,30.17,12.86,0.0315909,1.000
0.1546,-9.473E-003,30.41,13.10,0.0394817,1.000
0.1546,-9.218E-003,30.45,13.19,0.0504789,1.000
0.1546,-9.797E-003,30.27,12.97,0.0641161,1.000
0.1546,-8.924E-003,30.45,13.13,0.0806972,1.000
0.1546,-9.856E-003,30.59,13.20,0.100516,1.000
0.1546,-9.150E-003,30.48,13.04,0.125075,1.000
0.1546,-9.571E-003,30.51,13.12,0.158580,1.000
0.1546,-9.385E-003,30.53,13.11,0.200296,1.000
0.1546,-0.01076,30.59,13.16,0.252730,1.000
0.1546,-0.01064,30.57,13.14,0.317063,1.000
0.1546,-9.787E-003,30.59,13.14,0.397435,1.000
0.1546,-0.01055,30.55,13.12,0.500211,1.000
0.1546,-0.01030,30.57,13.13,0.632446,1.000
0.1546,-0.01000,30.57,13.13,0.794978,1.000
0.1546,-0.01035,30.52,13.11,0.998943,1.000
0.1546,-9.924E-003,30.42,13.07,1.25831,1.000
0.1546,-9.738E-003,30.31,13.03,1.58523,1.000
0.1546,-0.01020,30.21,12.99,1.99505,1.000
0.1546,-9.993E-003,30.07,12.95,2.51258,1.000
0.1546,-9.463E-003,29.89,12.91,3.16221,1.000
0.1546,-9.964E-003,29.79,12.93,3.98222,1.000
0.1546,-0.01126,29.77,13.00,5.01249,1.000
0.1546,-0.01119,29.53,13.00,6.31002,1.000
0.1546,-0.01068,29.16,12.95,7.94462,1.000
0.1546,-0.01131,28.75,12.93,10.0034,1.000
0.1546,-0.01169,28.20,12.86,12.5952,1.000
0.1546,-0.01112,27.57,12.81,15.8537,1.000
0.1546,-0.01093,26.77,12.72,19.9589,1.000
0.1546,-0.01031,25.82,12.61,25.1297,1.000
0.1546,-0.01069,24.68,12.46,31.6510,1.000
0.1546,-0.01070,23.33,12.26,39.8365,1.000
0.1546,-0.01019,21.77,12.01,50.1737,1.000
0.1546,-0.01013,20.01,11.71,63.1592,1.000
0.1546,-0.01011,18.06,11.34,79.5133,1.000
0.1546,-8.728E-003,15.96,10.90,100.087,1.000
0.1546,-7.767E-003,13.79,10.38,126.004,1.000
0.1546,-7.198E-003,11.66,9.758,158.604,1.000
0.1546,-6.414E-003,9.646,9.053,199.668,1.000
0.1546,-6.384E-003,9.530,8.981,200.052,1.000
