Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.2499,0.04491,115.9,9.373,0.0998636,10.00
0.2499,0.03707,82.34,11.11,0.100586,7.943
0.2499,0.03276,61.64,11.45,0.100637,6.310
0.2499,0.02723,48.26,11.58,0.102220,5.012
0.2499,0.02882,39.45,11.25,0.100379,3.981
0.2499,0.02828,33.01,11.04,0.100722,3.162
0.2499,0.02567,28.96,10.59,0.100134,2.512
0.2499,0.02356,25.90,10.16,0.100844,1.995
0.2499,0.02307,23.28,9.732,0.0994642,1.585
0.2499,0.02118,21.30,9.364,0.0999441,1.259
0.2499,0.02081,19.33,8.931,0.0984706,1.000
0.2499,0.02003,17.91,8.555,0.100841,0.7943
0.2499,0.01928,16.72,8.203,0.0991903,0.6310
0.2499,0.01738,15.17,7.867,0.0992022,0.5012
0.2499,0.01762,13.99,7.193,0.101035,0.3981
0.2499,0.01750,13.24,7.093,0.0985381,0.3162
0.2499,0.01697,12.09,6.589,0.100857,0.2512
0.2499,0.01655,10.20,6.709,0.0943617,0.1995
0.2499,0.01648,9.975,5.810,0.0794821,0.1585
0.2499,0.01571,9.312,6.068,0.0755352,0.1259
0.2499,0.01566,9.747,6.292,0.0644259,0.1000
0.2499,0.01592,20.13,10.40,2.05834E-003,1.000
0.2499,0.01452,19.82,9.681,0.0116719,1.000
0.2499,0.01473,18.80,8.464,0.0160922,1.000
0.2499,0.01410,18.99,8.704,0.0209482,1.000
0.2499,0.01437,19.16,8.602,0.0247482,1.000
0.2499,0.01426,19.51,8.665,0.0306043,1.000
0.2499,0.01454,19.56,8.868,0.0397415,1.000
0.2499,0.01457,19.40,8.947,0.0507085,1.000
0.2499,0.01343,19.48,8.933,0.0640029,1.000
0.2499,0.01369,19.54,8.869,0.0792229,1.000
0.2499,0.01324,19.57,8.922,0.0984646,1.000
0.2499,0.01346,19.65,8.915,0.126056,1.000
0.2499,0.01280,19.68,8.907,0.159033,1.000
0.2499,0.01245,19.73,9.029,0.200194,1.000
0.2499,0.01192,19.77,9.006,0.252779,1.000
0.2499,0.01180,19.82,9.055,0.315898,1.000
0.2499,0.01270,19.88,9.067,0.398173,1.000
0.2499,0.01200,19.91,9.122,0.501041,1.000
0.2499,0.01112,20.00,9.187,0.631281,1.000
0.2499,0.01163,20.12,9.281,0.795401,1.000
0.2499,0.01244,20.27,9.411,0.999927,1.000
0.2499,0.01148,20.39,9.517,1.25852,1.000
0.2499,0.01159,20.47,9.600,1.58468,1.000
0.2499,0.01130,20.48,9.650,1.99460,1.000
0.2499,0.01128,20.38,9.624,2.51211,1.000
0.2499,0.01204,20.22,9.540,3.16250,1.000
0.2499,0.01171,20.09,9.526,3.98099,1.000
0.2499,0.01035,19.97,9.542,5.01285,1.000
0.2499,0.01059,19.74,9.482,6.30868,1.000
0.2499,0.01026,19.53,9.463,7.93863,1.000
0.2499,0.01001,19.25,9.419,10.0050,1.000
0.2499,0.01045,18.92,9.359,12.5909,1.000
0.2499,0.01030,18.53,9.290,15.8565,1.000
0.2499,0.01043,18.08,9.210,19.9471,1.000
0.2499,0.01037,17.54,9.118,25.1354,1.000
0.2499,0.01027,16.89,9.014,31.6337,1.000
0.2499,9.728E-003,16.12,8.891,39.8199,1.000
0.2499,9.561E-003,15.22,8.751,50.1421,1.000
0.2499,0.01057,14.17,8.583,63.1175,1.000
0.2499,0.01042,13.00,8.380,79.4754,1.000
0.2499,0.01024,11.72,8.129,100.057,1.000
0.2499,0.01015,10.40,7.814,125.958,1.000
0.2499,0.01139,9.097,7.437,158.576,1.000
0.2499,0.01114,7.865,6.990,199.607,1.000
0.2499,0.01162,7.791,6.957,200.039,1.000
