Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1126,-0.01094,79.59,28.94,0.0996243,10.00
0.1126,-0.01949,74.08,29.10,0.100995,7.943
0.1126,-0.02359,69.93,27.83,0.0998913,6.310
0.1126,-0.02647,66.01,27.07,0.102186,5.012
0.1126,-0.03243,62.44,25.72,0.0990195,3.981
0.1126,-0.02922,59.41,24.49,0.0990558,3.162
0.1126,-0.03085,56.61,23.43,0.100105,2.512
0.1126,-0.03424,53.94,22.39,0.100219,1.995
0.1126,-0.03616,51.44,21.39,0.100619,1.585
0.1126,-0.03829,49.01,20.42,0.100258,1.259
0.1126,-0.03984,46.71,19.34,0.101005,1.000
0.1126,-0.04079,44.47,18.67,0.100529,0.7943
0.1126,-0.04408,42.41,17.64,0.100092,0.6310
0.1126,-0.04565,40.44,16.92,0.0979950,0.5012
0.1126,-0.04790,38.76,16.29,0.0996884,0.3981
0.1126,-0.04894,36.94,15.68,0.0987220,0.3162
0.1126,-0.05582,34.75,15.35,0.0986065,0.2512
0.1126,-0.05581,32.50,13.85,0.0944299,0.1995
0.1126,-0.05706,31.16,13.26,0.0792307,0.1585
0.1126,-0.05635,29.74,14.11,0.0744654,0.1259
0.1126,-0.05998,28.19,14.78,0.0689001,0.1000
0.1126,-0.06083,46.63,35.51,8.04765E-004,1.000
0.1126,-0.06080,51.27,21.88,0.0114689,1.000
0.1126,-0.05764,51.97,19.33,0.0157440,1.000
0.1126,-0.05864,52.66,20.68,0.0171173,1.000
0.1126,-0.06248,53.25,20.65,0.0251989,1.000
0.1126,-0.06582,53.56,21.00,0.0335197,1.000
0.1126,-0.06655,53.64,21.06,0.0395628,1.000
0.1126,-0.06836,53.75,21.25,0.0478854,1.000
0.1126,-0.06648,54.42,20.96,0.0649825,1.000
0.1126,-0.06720,54.94,21.30,0.0804946,1.000
0.1126,-0.06888,55.36,21.38,0.0991409,1.000
0.1126,-0.07150,55.90,21.50,0.125664,1.000
0.1126,-0.07151,56.03,21.73,0.160298,1.000
0.1126,-0.07196,56.54,21.90,0.197743,1.000
0.1126,-0.07153,56.88,22.02,0.250830,1.000
0.1126,-0.07244,57.25,22.08,0.315621,1.000
0.1126,-0.07407,57.41,22.19,0.396850,1.000
0.1126,-0.07673,57.61,22.28,0.499983,1.000
0.1126,-0.07625,57.66,22.33,0.630568,1.000
0.1126,-0.07611,57.62,22.24,0.792839,1.000
0.1126,-0.07534,57.42,22.29,0.999360,1.000
0.1126,-0.07793,56.93,22.33,1.25757,1.000
0.1126,-0.07861,56.21,22.35,1.58412,1.000
0.1126,-0.08088,55.40,22.35,1.99461,1.000
0.1126,-0.08189,54.42,22.41,2.51067,1.000
0.1126,-0.08152,53.32,22.53,3.16173,1.000
0.1126,-0.08151,52.05,22.68,3.98123,1.000
0.1126,-0.08137,50.20,22.72,5.01313,1.000
0.1126,-0.08131,48.02,22.67,6.31236,1.000
0.1126,-0.07754,45.56,22.56,7.94571,1.000
0.1126,-0.07904,42.88,22.43,10.0060,1.000
0.1126,-0.07889,39.87,22.15,12.6002,1.000
0.1126,-0.07903,36.64,21.72,15.8608,1.000
0.1126,-0.07666,33.29,21.14,19.9768,1.000
0.1126,-0.07376,29.94,20.46,25.1531,1.000
0.1126,-0.07257,26.58,19.64,31.6808,1.000
0.1126,-0.07097,23.26,18.70,39.8813,1.000
0.1126,-0.06744,20.07,17.66,50.2255,1.000
0.1126,-0.06398,17.06,16.54,63.2262,1.000
0.1126,-0.06222,14.30,15.36,79.6111,1.000
0.1126,-0.05926,11.81,14.15,100.199,1.000
0.1126,-0.05588,9.641,12.92,126.122,1.000
0.1126,-0.05268,7.779,11.73,158.736,1.000
0.1126,-0.04887,6.210,10.57,199.778,1.000
0.1126,-0.04916,6.081,10.39,200.119,1.000
