Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1882,0.04420,52.23,8.508,0.0997417,10.00
0.1882,0.03533,41.01,9.311,0.100745,7.943
0.1882,0.03174,33.26,9.425,0.100776,6.310
0.1882,0.02791,28.38,9.265,0.101803,5.012
0.1882,0.02578,24.77,9.067,0.0996378,3.981
0.1882,0.02310,22.14,8.884,0.100300,3.162
0.1882,0.02222,20.17,8.557,0.0993848,2.512
0.1882,0.02019,18.46,8.313,0.0996510,1.995
0.1882,0.01903,17.03,7.856,0.0995935,1.585
0.1882,0.01781,15.76,7.579,0.100023,1.259
0.1882,0.01715,14.49,7.171,0.100748,1.000
0.1882,0.01624,13.38,6.850,0.0978889,0.7943
0.1882,0.01540,12.75,6.706,0.0995623,0.6310
0.1882,0.01490,11.54,6.374,0.0977512,0.5012
0.1882,0.01434,10.84,5.780,0.0987492,0.3981
0.1882,0.01387,9.886,5.917,0.100715,0.3162
0.1882,0.01294,9.048,5.317,0.0980706,0.2512
0.1882,0.01377,7.721,5.152,0.0914726,0.1995
0.1882,0.01231,7.774,4.548,0.0778818,0.1585
0.1882,0.01232,7.072,4.701,0.0747916,0.1259
0.1882,0.01116,7.550,6.070,0.0626431,0.1000
0.1882,0.01080,16.09,8.495,0.0108539,1.000
0.1882,0.01089,14.03,6.594,0.0139538,1.000
0.1882,0.01118,14.84,7.374,0.0157618,1.000
0.1882,0.01057,14.57,6.866,0.0202969,1.000
0.1882,0.01067,15.19,7.795,0.0254026,1.000
0.1882,0.01089,14.99,7.647,0.0329440,1.000
0.1882,0.01057,14.92,7.365,0.0411052,1.000
0.1882,9.611E-003,15.24,7.603,0.0503078,1.000
0.1882,9.395E-003,15.00,7.445,0.0624325,1.000
0.1882,9.228E-003,15.02,7.346,0.0780353,1.000
0.1882,9.307E-003,15.02,7.362,0.0992192,1.000
0.1882,8.953E-003,15.05,7.398,0.126345,1.000
0.1882,9.346E-003,15.16,7.376,0.158732,1.000
0.1882,8.041E-003,15.08,7.328,0.199094,1.000
0.1882,8.385E-003,15.11,7.467,0.263241,1.000
0.1882,8.365E-003,15.18,7.392,0.313373,1.000
0.1882,8.581E-003,15.14,7.366,0.394162,1.000
0.1882,8.345E-003,15.17,7.401,0.500569,1.000
0.1882,8.159E-003,15.20,7.395,0.632081,1.000
0.1882,7.845E-003,15.22,7.408,0.793044,1.000
0.1882,7.306E-003,15.22,7.411,0.998732,1.000
0.1882,7.492E-003,15.21,7.402,1.25857,1.000
0.1882,6.923E-003,15.18,7.388,1.58373,1.000
0.1882,7.688E-003,15.15,7.383,1.99440,1.000
0.1882,7.424E-003,15.12,7.381,2.51151,1.000
0.1882,6.433E-003,15.10,7.395,3.16283,1.000
0.1882,6.933E-003,15.09,7.431,3.98130,1.000
0.1882,7.129E-003,15.04,7.440,5.01251,1.000
0.1882,6.541E-003,14.92,7.417,6.30934,1.000
0.1882,6.757E-003,14.78,7.393,7.94390,1.000
0.1882,5.992E-003,14.61,7.359,10.0004,1.000
0.1882,6.266E-003,14.43,7.339,12.5893,1.000
0.1882,5.737E-003,14.19,7.295,15.8501,1.000
0.1882,6.963E-003,13.91,7.250,19.9572,1.000
0.1882,5.757E-003,13.56,7.194,25.1209,1.000
0.1882,6.874E-003,13.14,7.129,31.6270,1.000
0.1882,6.041E-003,12.62,7.056,39.8225,1.000
0.1882,6.404E-003,12.00,6.968,50.1319,1.000
0.1882,6.041E-003,11.26,6.864,63.1127,1.000
0.1882,6.414E-003,10.40,6.734,79.4594,1.000
0.1882,6.727E-003,9.438,6.568,100.050,1.000
0.1882,7.277E-003,8.420,6.352,125.943,1.000
0.1882,7.551E-003,7.389,6.076,158.543,1.000
0.1882,7.718E-003,6.398,5.743,199.580,1.000
0.1882,7.747E-003,6.351,5.723,200.023,1.000
