Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3905,0.04576,387.5,79.72,0.0999654,10.00
0.3905,0.03754,335.4,78.05,0.101044,7.943
0.3905,0.03328,298.6,76.51,0.100675,6.310
0.3905,0.03124,272.3,72.90,0.100045,5.012
0.3905,0.02930,254.0,69.46,0.101011,3.981
0.3905,0.02771,238.4,67.02,0.0999383,3.162
0.3905,0.02593,226.0,64.34,0.100142,2.512
0.3905,0.02470,215.4,61.84,0.100504,1.995
0.3905,0.02370,206.1,59.49,0.100119,1.585
0.3905,0.02254,197.4,56.88,0.100597,1.259
0.3905,0.02240,189.7,54.86,0.0999676,1.000
0.3905,0.02118,182.5,52.69,0.0999591,0.7943
0.3905,0.02209,175.2,50.46,0.0994899,0.6310
0.3905,0.02058,169.1,48.54,0.0997670,0.5012
0.3905,0.02094,162.6,46.51,0.100188,0.3981
0.3905,0.02285,156.1,44.99,0.0998489,0.3162
0.3905,0.02133,150.5,42.55,0.100412,0.2512
0.3905,0.01977,144.3,40.02,0.102018,0.1995
0.3905,0.01962,141.0,39.10,0.102631,0.1585
0.3905,0.01912,134.6,38.57,0.101349,0.1259
0.3905,0.01892,130.2,37.36,0.0998391,0.1000
0.3905,0.01746,192.8,59.59,2.36985E-003,1.000
0.3905,0.01585,204.0,55.52,0.0123575,1.000
0.3905,0.01667,203.9,55.30,0.0161847,1.000
0.3905,0.01704,202.9,55.55,0.0205066,1.000
0.3905,0.01581,203.3,55.59,0.0258222,1.000
0.3905,0.01553,202.6,55.73,0.0322446,1.000
0.3905,0.01455,203.0,55.83,0.0403507,1.000
0.3905,0.01496,203.4,55.84,0.0505024,1.000
0.3905,0.01393,203.6,55.96,0.0630334,1.000
0.3905,0.01426,203.5,55.92,0.0795769,1.000
0.3905,0.01322,203.7,56.05,0.100436,1.000
0.3905,0.01344,203.9,55.97,0.126247,1.000
0.3905,0.01335,204.2,56.07,0.158841,1.000
0.3905,0.01224,204.5,56.15,0.200116,1.000
0.3905,0.01154,204.0,56.13,0.251252,1.000
0.3905,0.01247,204.1,56.13,0.316209,1.000
0.3905,0.01220,204.1,56.25,0.397999,1.000
0.3905,0.01414,204.1,56.41,0.500815,1.000
0.3905,0.01217,204.1,56.57,0.630651,1.000
0.3905,0.01293,204.2,56.86,0.794358,1.000
0.3905,0.01264,204.3,57.28,1.00012,1.000
0.3905,0.01220,203.8,57.71,1.25900,1.000
0.3905,0.01190,201.8,57.77,1.58510,1.000
0.3905,0.01234,197.9,57.52,1.99608,1.000
0.3905,0.01408,194.7,57.90,2.51319,1.000
0.3905,0.01256,191.4,58.45,3.16409,1.000
0.3905,0.01276,186.1,58.98,3.98483,1.000
0.3905,0.01345,179.9,59.97,5.01678,1.000
0.3905,0.01272,171.6,60.91,6.31866,1.000
0.3905,0.01268,161.8,62.04,7.95395,1.000
0.3905,0.01306,150.3,63.20,10.0141,1.000
0.3905,0.01210,137.3,64.27,12.6229,1.000
0.3905,0.01125,123.4,65.03,15.8789,1.000
0.3905,0.01174,109.4,65.20,19.9940,1.000
0.3905,0.01059,95.68,64.57,25.1696,1.000
0.3905,9.895E-003,82.87,63.08,31.6706,1.000
0.3905,9.297E-003,71.16,60.72,39.8615,1.000
0.3905,9.777E-003,60.68,57.67,50.1755,1.000
0.3905,9.228E-003,51.40,54.04,63.1488,1.000
0.3905,7.934E-003,43.27,50.10,79.4887,1.000
0.3905,7.914E-003,36.14,45.99,100.054,1.000
0.3905,7.992E-003,30.03,41.91,125.952,1.000
0.3905,8.591E-003,24.74,37.94,158.534,1.000
0.3905,0.01042,20.22,34.12,199.557,1.000
0.3905,0.01007,20.17,34.17,199.977,1.000
