Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.2961,0.01375,111.7,50.72,0.0997724,10.00
0.2961,0.03804,111.4,51.38,0.100548,7.943
0.2961,0.03878,105.3,55.48,0.100787,6.310
0.2961,0.02169,160.7,43.12,0.101753,5.012
0.2961,0.02866,142.4,45.15,0.102395,3.981
0.2961,0.01454,137.8,42.38,0.0996569,3.162
0.2961,0.03793,135.6,42.19,0.0986662,2.512
0.2961,0.06015,139.0,42.17,0.0995263,1.995
0.2961,0.04706,137.2,42.76,0.0989579,1.585
0.2961,0.03111,132.7,41.35,0.100789,1.259
0.2961,0.02104,128.1,40.23,0.100602,1.000
0.2961,8.865E-003,122.5,38.13,0.0960520,0.7943
0.2961,0.04218,114.1,35.33,0.0984464,0.6310
0.2961,-0.01071,105.9,31.99,0.0998866,0.5012
0.2961,0.03490,102.8,31.74,0.0993565,0.3981
0.2961,1.314E-003,101.2,28.93,0.101422,0.3162
0.2961,0.01666,93.42,27.72,0.104775,0.2512
0.2961,0.01851,97.08,35.64,0.0859574,0.1995
0.2961,0.03177,82.41,28.45,0.0847515,0.1585
0.2961,0.04401,82.52,24.52,0.0780712,0.1259
0.2961,3.981E-003,83.34,19.63,0.0621558,0.1000
0.2961,0.02002,101.8,29.96,3.95497E-003,1.000
0.2961,0.02613,104.1,31.12,0.0133962,1.000
0.2961,0.01723,95.56,28.67,0.0172194,1.000
0.2961,9.012E-003,105.0,28.23,0.0192928,1.000
0.2961,0.03392,105.2,30.21,0.0238934,1.000
0.2961,0.03065,109.0,30.86,0.0303863,1.000
0.2961,0.02727,103.4,29.48,0.0399514,1.000
0.2961,0.03607,102.7,29.19,0.0504220,1.000
0.2961,0.01236,100.9,28.30,0.0635829,1.000
0.2961,4.158E-003,95.31,26.60,0.0796253,1.000
0.2961,9.257E-003,98.53,27.15,0.100283,1.000
0.2961,0.01254,111.2,30.30,0.124304,1.000
0.2961,0.01325,127.5,36.18,0.156145,1.000
0.2961,0.01303,141.7,40.64,0.197944,1.000
0.2961,5.600E-003,143.0,40.92,0.251106,1.000
0.2961,0.03362,134.8,38.24,0.315136,1.000
0.2961,4.923E-003,133.8,36.60,0.398304,1.000
0.2961,5.698E-003,131.7,36.83,0.501432,1.000
0.2961,8.306E-003,132.9,37.77,0.631019,1.000
0.2961,-0.02528,128.2,36.23,0.794394,1.000
0.2961,0.01150,126.9,35.98,0.999916,1.000
0.2961,0.01070,127.2,36.16,1.25859,1.000
0.2961,0.01040,126.0,36.01,1.58485,1.000
0.2961,-6.963E-003,124.5,35.83,1.99535,1.000
0.2961,0.02443,123.3,35.71,2.51171,1.000
0.2961,0.01639,121.2,35.42,3.16301,1.000
0.2961,0.01903,119.1,35.23,3.98282,1.000
0.2961,0.02166,117.4,35.37,5.01272,1.000
0.2961,0.01841,115.3,35.65,6.31293,1.000
0.2961,0.02749,112.2,36.02,7.94730,1.000
0.2961,-2.756E-003,108.8,36.71,10.0069,1.000
0.2961,0.01117,104.0,37.51,12.6005,1.000
0.2961,0.02804,98.19,38.59,15.8668,1.000
0.2961,4.923E-003,91.13,39.68,19.9803,1.000
0.2961,0.01959,82.86,40.58,25.1592,1.000
0.2961,0.01715,74.00,41.15,31.6713,1.000
0.2961,0.04232,64.74,41.18,39.8742,1.000
0.2961,0.04757,55.37,40.71,50.2072,1.000
0.2961,0.05008,46.37,39.67,63.2057,1.000
0.2961,0.01818,38.14,37.96,79.5468,1.000
0.2961,-6.865E-003,30.81,35.77,100.101,1.000
0.2961,0.02741,24.66,33.15,125.973,1.000
0.2961,-1.785E-003,19.55,30.25,158.540,1.000
0.2961,0.01344,15.27,27.25,199.578,1.000
0.2961,0.01632,15.20,27.25,199.996,1.000
