Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3033,0.05865,117.8,57.55,0.100054,10.00
0.3033,0.02369,163.7,52.94,0.100757,7.943
0.3033,0.06195,189.7,46.73,0.100626,6.310
0.3033,0.07422,182.6,40.94,0.100514,5.012
0.3033,0.04530,161.8,42.18,0.100391,3.981
0.3033,0.04158,149.1,39.60,0.0991998,3.162
0.3033,0.01405,139.3,37.98,0.0996021,2.512
0.3033,0.07934,141.3,40.41,0.0990354,1.995
0.3033,0.04678,141.8,40.12,0.0978903,1.585
0.3033,0.02878,137.9,40.51,0.0989928,1.259
0.3033,0.02406,132.5,39.58,0.0977516,1.000
0.3033,0.02210,128.5,38.32,0.0941832,0.7943
0.3033,0.04955,123.9,36.44,0.0957962,0.6310
0.3033,0.02864,113.0,32.33,0.0955866,0.5012
0.3033,0.02449,104.5,30.61,0.0951135,0.3981
0.3033,0.07039,94.37,29.25,0.0927357,0.3162
0.3033,0.05274,88.82,26.52,0.0943095,0.2512
0.3033,0.01488,86.80,31.78,0.0876438,0.1995
0.3033,0.06525,78.05,26.47,0.0806568,0.1585
0.3033,0.04221,71.54,21.91,0.0791779,0.1259
0.3033,5.972E-003,73.83,19.26,0.0651903,0.1000
0.3033,-6.168E-003,58.26,20.70,1.95752E-003,1.000
0.3033,0.02888,48.54,10.93,0.0116395,1.000
0.3033,-7.257E-004,46.34,11.38,0.0160081,1.000
0.3033,-0.01426,53.65,11.69,0.0189775,1.000
0.3033,-5.099E-004,68.26,16.62,0.0238044,1.000
0.3033,-8.934E-003,92.86,23.94,0.0308342,1.000
0.3033,0.04130,117.3,31.18,0.0390686,1.000
0.3033,3.295E-003,121.1,31.48,0.0486067,1.000
0.3033,0.04826,116.3,30.60,0.0635026,1.000
0.3033,0.03043,126.9,34.98,0.0787263,1.000
0.3033,7.404E-003,140.0,39.18,0.0998992,1.000
0.3033,4.609E-004,134.1,35.24,0.124844,1.000
0.3033,0.02170,129.5,35.62,0.158150,1.000
0.3033,0.04452,139.4,38.52,0.199016,1.000
0.3033,2.197E-003,143.1,40.02,0.251051,1.000
0.3033,1.294E-003,143.9,40.15,0.315989,1.000
0.3033,0.03691,146.2,40.83,0.397981,1.000
0.3033,0.02563,150.0,42.00,0.500747,1.000
0.3033,-7.061E-003,150.6,42.29,0.630687,1.000
0.3033,0.02436,153.7,43.48,0.794505,1.000
0.3033,-0.02324,152.5,43.16,0.999878,1.000
0.3033,-0.02083,150.1,42.67,1.25859,1.000
0.3033,-0.01866,148.5,42.35,1.58514,1.000
0.3033,-7.904E-003,145.6,41.75,1.99518,1.000
0.3033,0.04499,142.4,41.18,2.51145,1.000
0.3033,1.373E-004,140.2,40.88,3.16288,1.000
0.3033,-0.01844,138.3,40.88,3.98185,1.000
0.3033,-1.089E-003,136.1,41.01,5.01316,1.000
0.3033,-5.227E-003,133.2,41.25,6.31201,1.000
0.3033,8.238E-004,129.8,41.84,7.94552,1.000
0.3033,0.02620,125.8,42.73,10.0115,1.000
0.3033,-3.638E-003,119.8,43.62,12.6052,1.000
0.3033,2.707E-003,112.9,44.86,15.8678,1.000
0.3033,7.600E-003,104.3,46.07,19.9863,1.000
0.3033,0.01170,94.57,46.90,25.1579,1.000
0.3033,0.03656,84.26,47.37,31.6782,1.000
0.3033,-0.02948,73.50,47.17,39.8869,1.000
0.3033,0.01271,62.79,46.36,50.2007,1.000
0.3033,-0.03354,52.56,44.88,63.1968,1.000
0.3033,0.03146,43.19,42.75,79.5422,1.000
0.3033,0.07242,34.90,40.13,100.105,1.000
0.3033,0.02067,27.95,37.06,125.960,1.000
0.3033,0.01046,22.16,33.76,158.542,1.000
0.3033,-0.02219,17.35,30.37,199.565,1.000
0.3033,0.01789,17.29,30.46,199.977,1.000
