Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3758,0.06025,90.43,51.76,0.0999677,10.00
0.3758,0.04613,160.3,47.78,0.100554,7.943
0.3758,0.03686,180.5,43.53,0.100603,6.310
0.3758,0.02327,163.9,43.08,0.101279,5.012
0.3758,0.07420,156.7,33.75,0.100508,3.981
0.3758,0.09129,134.1,37.36,0.101654,3.162
0.3758,0.04691,119.4,33.02,0.100084,2.512
0.3758,0.06980,106.3,30.35,0.0997407,1.995
0.3758,0.08546,100.4,30.27,0.0996158,1.585
0.3758,0.05954,95.97,29.99,0.0991329,1.259
0.3758,0.05030,93.06,29.09,0.100684,1.000
0.3758,0.04812,86.38,27.14,0.0992185,0.7943
0.3758,0.06281,83.62,24.21,0.0988939,0.6310
0.3758,0.04958,79.06,24.87,0.0995406,0.5012
0.3758,0.03136,75.29,23.84,0.0986803,0.3981
0.3758,0.05484,74.47,24.31,0.0997961,0.3162
0.3758,0.01793,74.87,24.54,0.0946562,0.2512
0.3758,0.03324,69.33,27.49,0.0845687,0.1995
0.3758,0.06476,60.83,22.85,0.0747779,0.1585
0.3758,0.04255,56.68,18.75,0.0702510,0.1259
0.3758,0.01351,51.22,15.76,0.0627048,0.1000
0.3758,-0.01040,70.96,21.28,6.63457E-003,1.000
0.3758,0.03253,67.00,19.05,0.0127684,1.000
0.3758,0.06034,71.08,17.66,0.0137365,1.000
0.3758,0.02595,68.89,19.53,0.0193780,1.000
0.3758,0.02866,68.57,19.57,0.0250529,1.000
0.3758,0.05796,68.01,19.66,0.0312317,1.000
0.3758,0.02701,68.02,19.42,0.0391581,1.000
0.3758,0.03810,80.22,21.44,0.0484550,1.000
0.3758,0.05148,103.7,30.15,0.0616704,1.000
0.3758,0.04768,114.5,34.94,0.0792731,1.000
0.3758,1.471E-003,116.8,35.99,0.0998113,1.000
0.3758,0.02819,112.3,31.91,0.126244,1.000
0.3758,0.03877,109.0,31.89,0.158932,1.000
0.3758,0.06140,105.9,31.91,0.199383,1.000
0.3758,0.03165,113.0,34.16,0.249113,1.000
0.3758,0.03947,116.6,35.52,0.316982,1.000
0.3758,0.08568,115.5,34.95,0.397730,1.000
0.3758,0.04400,122.2,36.48,0.500828,1.000
0.3758,0.02258,122.1,37.07,0.630611,1.000
0.3758,-0.01539,124.9,38.00,0.794375,1.000
0.3758,0.04124,126.6,38.72,0.999838,1.000
0.3758,0.03320,126.7,38.98,1.25909,1.000
0.3758,0.03271,125.6,38.81,1.58488,1.000
0.3758,0.07394,124.6,38.75,1.99514,1.000
0.3758,0.04265,123.4,38.79,2.51213,1.000
0.3758,0.02254,120.6,38.11,3.16270,1.000
0.3758,0.02232,118.7,38.01,3.98198,1.000
0.3758,0.02216,116.6,38.17,5.01296,1.000
0.3758,-0.01213,114.5,38.51,6.31230,1.000
0.3758,-5.570E-003,111.8,38.99,7.94636,1.000
0.3758,0.02478,107.9,39.64,10.0065,1.000
0.3758,0.04770,103.4,40.58,12.5992,1.000
0.3758,0.04534,97.44,41.50,15.8659,1.000
0.3758,0.01090,90.68,42.51,19.9704,1.000
0.3758,0.03678,82.74,43.21,25.1538,1.000
0.3758,-6.953E-003,74.08,43.57,31.6657,1.000
0.3758,0.03059,64.92,43.46,39.8744,1.000
0.3758,0.05842,55.59,42.75,50.2053,1.000
0.3758,0.06125,46.44,41.50,63.1918,1.000
0.3758,0.04698,38.01,39.65,79.5345,1.000
0.3758,0.05905,30.71,37.25,100.069,1.000
0.3758,0.04099,24.54,34.37,125.941,1.000
0.3758,0.01877,19.45,31.27,158.522,1.000
0.3758,0.06035,15.28,28.14,199.537,1.000
0.3758,0.01607,15.33,28.24,199.943,1.000
