Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.5991,0.04244,6.347E+003,593.9,0.0998429,10.00
0.5991,0.07167,6.316E+003,553.3,0.100556,7.943
0.5991,0.03241,6.252E+003,524.0,0.100393,6.310
0.5991,8.806E-003,6.207E+003,502.0,0.100258,5.012
0.5991,0.01641,6.164E+003,484.3,0.100532,3.981
0.5991,0.03050,6.120E+003,470.8,0.100628,3.162
0.5991,8.757E-003,6.092E+003,462.3,0.100084,2.512
0.5991,-0.01306,6.057E+003,442.0,0.100731,1.995
0.5991,-3.707E-003,6.031E+003,446.8,0.0999948,1.585
0.5991,-0.04054,5.959E+003,454.3,0.0999911,1.259
0.5991,-0.03562,5.895E+003,434.4,0.100294,1.000
0.5991,-0.01308,5.839E+003,438.6,0.100398,0.7943
0.5991,-0.07049,5.791E+003,424.5,0.0998343,0.6310
0.5991,-0.07333,5.765E+003,457.3,0.0991991,0.5012
0.5991,-0.05863,5.707E+003,427.6,0.0992978,0.3981
0.5991,-0.04529,5.638E+003,433.6,0.102198,0.3162
0.5991,-0.04835,5.557E+003,423.6,0.0996546,0.2512
0.5991,-0.06974,5.670E+003,395.9,0.0988609,0.1995
0.5991,-0.02566,5.453E+003,303.9,0.102067,0.1585
0.5991,-0.06782,5.765E+003,1.067E+003,0.0899064,0.1259
0.5991,-0.09814,5.254E+003,338.6,0.0759230,0.1000
0.5991,-0.07779,5.271E+003,639.3,9.62544E-003,1.000
0.5991,-0.08751,5.682E+003,525.8,0.0126490,1.000
0.5991,-0.1065,5.725E+003,464.7,0.0156701,1.000
0.5991,-0.1016,5.549E+003,422.5,0.0204188,1.000
0.5991,-0.06491,5.424E+003,417.3,0.0246397,1.000
0.5991,-0.05026,5.487E+003,402.6,0.0328201,1.000
0.5991,-0.09101,5.509E+003,396.2,0.0397543,1.000
0.5991,-0.09083,5.486E+003,382.7,0.0504544,1.000
0.5991,-0.1127,5.523E+003,372.5,0.0624015,1.000
0.5991,-0.07062,5.524E+003,385.4,0.0809560,1.000
0.5991,-0.06947,5.526E+003,381.5,0.102380,1.000
0.5991,5.913E-003,5.452E+003,389.6,0.125935,1.000
0.5991,0.02415,5.490E+003,384.1,0.159964,1.000
0.5991,0.03672,5.518E+003,386.7,0.198642,1.000
0.5991,-0.02246,5.536E+003,391.1,0.252748,1.000
0.5991,7.885E-003,5.532E+003,398.9,0.315263,1.000
0.5991,-0.01071,5.533E+003,405.8,0.396628,1.000
0.5991,-0.04771,5.540E+003,418.4,0.501656,1.000
0.5991,7.355E-004,5.533E+003,431.6,0.631138,1.000
0.5991,5.560E-003,5.495E+003,445.5,0.794082,1.000
0.5991,-0.03351,5.399E+003,457.7,0.998071,1.000
0.5991,-0.05411,5.230E+003,468.1,1.26074,1.000
0.5991,-0.01936,5.068E+003,482.8,1.58255,1.000
0.5991,-0.03622,4.902E+003,506.8,1.99644,1.000
0.5991,-0.02879,4.659E+003,530.0,2.51301,1.000
0.5991,-0.03321,4.391E+003,568.9,3.16733,1.000
0.5991,-0.01783,4.057E+003,627.2,3.98597,1.000
0.5991,0.06052,3.667E+003,716.8,5.02380,1.000
0.5991,0.07470,3.244E+003,825.8,6.32828,1.000
0.5991,0.07695,2.788E+003,937.6,7.97008,1.000
0.5991,0.09864,2.309E+003,1.039E+003,10.0385,1.000
0.5991,0.1084,1.838E+003,1.099E+003,12.6312,1.000
0.5991,0.1160,1.428E+003,1.100E+003,15.8793,1.000
0.5991,0.07050,1.061E+003,1.068E+003,19.9261,1.000
0.5991,0.1114,815.5,980.3,25.0897,1.000
0.5991,0.09799,588.1,883.7,31.5425,1.000
0.5991,0.06827,454.7,794.0,37.7884,1.000
0.5991,0.07509,330.5,680.3,49.8439,1.000
0.5991,0.08431,255.1,597.2,60.8849,1.000
0.5991,0.07725,194.7,514.6,70.6972,1.000
0.5991,0.03500,158.4,423.7,100.005,1.000
0.5991,0.08465,117.8,361.7,125.897,1.000
0.5991,0.1175,87.57,307.3,158.483,1.000
0.5991,0.07710,65.38,260.3,199.519,1.000
0.5991,0.07231,64.21,251.5,200.007,1.000
