Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.3034,0.1199,4.297E+003,589.8,0.100018,10.00
0.3034,0.04827,4.246E+003,562.7,0.100990,7.943
0.3034,0.03720,4.196E+003,551.4,0.100329,6.310
0.3034,0.09165,4.185E+003,546.3,0.101340,5.012
0.3034,0.01711,4.218E+003,553.3,0.100607,3.981
0.3034,0.01944,4.241E+003,552.3,0.100304,3.162
0.3034,0.01626,4.279E+003,565.8,0.0997801,2.512
0.3034,-0.05026,4.305E+003,568.7,0.0992582,1.995
0.3034,-0.03552,4.299E+003,589.7,0.100796,1.585
0.3034,-0.05568,4.319E+003,588.9,0.0935251,1.259
0.3034,-0.05927,4.331E+003,625.5,0.0997811,1.000
0.3034,-0.1418,4.354E+003,631.8,0.0990627,0.7943
0.3034,-0.09873,4.311E+003,667.6,0.0996938,0.6310
0.3034,-0.1322,4.290E+003,673.1,0.0993636,0.5012
0.3034,-0.1650,4.265E+003,732.4,0.0974993,0.3981
0.3034,-0.1657,4.297E+003,729.1,0.0986033,0.3162
0.3034,-0.1846,4.323E+003,785.0,0.100387,0.2512
0.3034,-0.1511,4.255E+003,759.6,0.100254,0.1995
0.3034,-0.1710,4.262E+003,876.8,0.101082,0.1585
0.3034,-0.1781,4.172E+003,880.4,0.0926134,0.1259
0.3034,-0.1872,4.226E+003,1.073E+003,0.0804491,0.1000
0.3034,-0.1448,5.709E+003,225.9,9.39173E-003,1.000
0.3034,-0.1543,6.010E+003,374.0,0.0124299,1.000
0.3034,-0.1727,6.232E+003,635.4,0.0163695,1.000
0.3034,-0.1681,6.489E+003,766.7,0.0203251,1.000
0.3034,-0.2035,6.664E+003,847.0,0.0247985,1.000
0.3034,-0.1697,6.723E+003,909.2,0.0317103,1.000
0.3034,-0.2153,7.111E+003,991.7,0.0397562,1.000
0.3034,-0.1957,7.371E+003,1.061E+003,0.0495870,1.000
0.3034,-0.2087,7.732E+003,1.145E+003,0.0630980,1.000
0.3034,-0.1844,7.954E+003,1.167E+003,0.0793985,1.000
0.3034,-0.2231,8.249E+003,1.222E+003,0.0995613,1.000
0.3034,-0.2042,8.553E+003,1.283E+003,0.125560,1.000
0.3034,-0.2190,8.782E+003,1.331E+003,0.157472,1.000
0.3034,-0.2387,9.075E+003,1.391E+003,0.199306,1.000
0.3034,-0.1841,1.020E+004,1.750E+003,0.248724,1.000
0.3034,-0.1952,1.049E+004,1.782E+003,0.317077,1.000
0.3034,-0.2246,1.056E+004,1.786E+003,0.394602,1.000
0.3034,-0.2063,1.112E+004,1.962E+003,0.499640,1.000
0.3034,-0.2032,1.160E+004,2.137E+003,0.625193,1.000
0.3034,-0.2052,1.183E+004,2.269E+003,0.787490,1.000
0.3034,-0.2013,1.166E+004,2.256E+003,0.995035,1.000
0.3034,-0.2076,1.128E+004,2.223E+003,1.25319,1.000
0.3034,-0.2190,1.141E+004,2.416E+003,1.55651,1.000
0.3034,-0.2130,1.135E+004,2.535E+003,1.98457,1.000
0.3034,-0.2407,1.102E+004,2.598E+003,2.50223,1.000
0.3034,-0.2389,1.019E+004,2.498E+003,3.17047,1.000
0.3034,-0.2386,9.985E+003,2.699E+003,3.94177,1.000
0.3034,-0.2105,9.444E+003,2.755E+003,5.00262,1.000
0.3034,-0.1866,8.476E+003,2.625E+003,6.32833,1.000
0.3034,-0.1850,7.187E+003,2.325E+003,7.96219,1.000
0.3034,-0.1647,6.016E+003,2.062E+003,10.0405,1.000
0.3034,-0.1452,5.055E+003,1.878E+003,12.5956,1.000
0.3034,-0.1789,4.198E+003,1.706E+003,15.9163,1.000
0.3034,-0.1081,3.143E+003,1.399E+003,19.9995,1.000
0.3034,-0.1031,2.411E+003,1.219E+003,25.1585,1.000
0.3034,-0.1109,1.736E+003,1.009E+003,31.6557,1.000
0.3034,-0.06816,1.267E+003,851.6,39.8364,1.000
0.3034,-0.06302,915.3,714.3,50.1253,1.000
0.3034,-0.03608,620.3,570.3,63.0993,1.000
0.3034,-0.01447,437.5,480.7,79.4705,1.000
0.3034,-0.01999,302.6,395.7,100.025,1.000
0.3034,3.432E-003,226.0,327.9,125.879,1.000
0.3034,0.06042,160.1,278.3,158.505,1.000
0.3034,0.01177,106.4,230.1,199.492,1.000
0.3034,0.06607,96.25,219.5,200.000,1.000
