X,Y,Value
3258,143,255
3259,143,255
3260,143,255
3261,143,255
3262,143,255
3263,143,255
3264,143,255
3265,143,255
3252,144,255
3253,144,255
3254,144,255
3255,144,255
3256,144,255
3257,144,255
3258,144,255
3265,144,255
3266,144,255
3267,144,255
3268,144,255
3269,144,255
3270,144,255
3271,144,255
3272,144,255
3247,145,255
3248,145,255
3249,145,255
3250,145,255
3251,145,255
3252,145,255
3272,145,255
3273,145,255
3274,145,255
3240,146,255
3241,146,255
3242,146,255
3243,146,255
3244,146,255
3245,146,255
3246,146,255
3247,146,255
3274,146,255
3275,146,255
3276,146,255
3277,146,255
3278,146,255
3238,147,255
3239,147,255
3240,147,255
3278,147,255
3279,147,255
3280,147,255
3281,147,255
3238,148,255
3281,148,255
3235,149,255
3236,149,255
3237,149,255
3238,149,255
3281,149,255
3282,149,255
3283,149,255
3233,150,255
3234,150,255
3235,150,255
3283,150,255
3231,151,255
3232,151,255
3233,151,255
3283,151,255
3284,151,255
3285,151,255
3230,152,255
3231,152,255
3285,152,255
3286,152,255
3287,152,255
3288,152,255
3289,152,255
3229,153,255
3230,153,255
3289,153,255
3290,153,255
3291,153,255
3229,154,255
3291,154,255
3229,155,255
3230,155,255
3231,155,255
3232,155,255
3290,155,255
3291,155,255
3231,156,255
3287,156,255
3288,156,255
3289,156,255
3290,156,255
3291,156,255
3292,156,255
3293,156,255
160,157,255
161,157,255
162,157,255
163,157,255
164,157,255
165,157,255
166,157,255
167,157,255
168,157,255
169,157,255
170,157,255
171,157,255
172,157,255
173,157,255
174,157,255
175,157,255
176,157,255
177,157,255
178,157,255
179,157,255
3231,157,255
3232,157,255
3233,157,255
3293,157,255
3294,157,255
3295,157,255
152,158,255
153,158,255
154,158,255
155,158,255
156,158,255
157,158,255
158,158,255
159,158,255
160,158,255
179,158,255
180,158,255
181,158,255
182,158,255
183,158,255
3229,158,255
3230,158,255
3231,158,255
3232,158,255
3295,158,255
149,159,255
150,159,255
151,159,255
152,159,255
183,159,255
184,159,255
185,159,255
3226,159,255
3227,159,255
3228,159,255
3229,159,255
3294,159,255
3295,159,255
147,160,255
148,160,255
149,160,255
185,160,255
186,160,255
187,160,255
188,160,255
189,160,255
190,160,255
3224,160,255
3225,160,255
3226,160,255
3294,160,255
3295,160,255
3296,160,255
146,161,255
147,161,255
190,161,255
191,161,255
192,161,255
3224,161,255
3296,161,255
3297,161,255
3298,161,255
144,162,255
145,162,255
146,162,255
192,162,255
3224,162,255
3225,162,255
3226,162,255
3298,162,255
3299,162,255
144,163,255
191,163,255
192,163,255
3225,163,255
3226,163,255
3227,163,255
3228,163,255
3299,163,255
142,164,255
143,164,255
144,164,255
191,164,255
192,164,255
3222,164,255
3223,164,255
3224,164,255
3225,164,255
3299,164,255
141,165,255
142,165,255
192,165,255
193,165,255
194,165,255
195,165,255
196,165,255
197,165,255
198,165,255
199,165,255
3222,165,255
3298,165,255
3299,165,255
141,166,255
199,166,255
200,166,255
201,166,255
202,166,255
203,166,255
3221,166,255
3222,166,255
3299,166,255
3300,166,255
3301,166,255
3302,166,255
138,167,255
139,167,255
140,167,255
141,167,255
203,167,255
3219,167,255
