X,Y,Value
572,157,255
573,157,255
574,157,255
575,157,255
576,157,255
577,157,255
578,157,255
579,157,255
580,157,255
581,157,255
582,157,255
583,157,255
568,158,255
569,158,255
570,158,255
571,158,255
572,158,255
583,158,255
584,158,255
585,158,255
586,158,255
587,158,255
588,158,255
589,158,255
590,158,255
591,158,255
592,158,255
593,158,255
594,158,255
562,159,255
563,159,255
564,159,255
565,159,255
566,159,255
567,159,255
568,159,255
594,159,255
595,159,255
596,159,255
597,159,255
552,160,255
553,160,255
554,160,255
555,160,255
556,160,255
557,160,255
558,160,255
559,160,255
560,160,255
561,160,255
562,160,255
597,160,255
598,160,255
599,160,255
600,160,255
601,160,255
602,160,255
603,160,255
547,161,255
548,161,255
549,161,255
550,161,255
551,161,255
552,161,255
603,161,255
604,161,255
605,161,255
606,161,255
544,162,255
545,162,255
546,162,255
547,162,255
606,162,255
607,162,255
608,162,255
609,162,255
492,163,255
493,163,255
494,163,255
495,163,255
496,163,255
497,163,255
498,163,255
499,163,255
543,163,255
544,163,255
609,163,255
610,163,255
611,163,255
492,164,255
499,164,255
500,164,255
501,164,255
502,164,255
503,164,255
543,164,255
611,164,255
612,164,255
478,165,255
479,165,255
480,165,255
481,165,255
482,165,255
483,165,255
484,165,255
485,165,255
486,165,255
487,165,255
488,165,255
489,165,255
490,165,255
491,165,255
492,165,255
503,165,255
504,165,255
505,165,255
506,165,255
507,165,255
508,165,255
509,165,255
510,165,255
511,165,255
512,165,255
513,165,255
514,165,255
515,165,255
516,165,255
517,165,255
518,165,255
519,165,255
520,165,255
521,165,255
522,165,255
523,165,255
524,165,255
525,165,255
526,165,255
527,165,255
528,165,255
529,165,255
530,165,255
531,165,255
532,165,255
533,165,255
534,165,255
535,165,255
536,165,255
537,165,255
538,165,255
539,165,255
540,165,255
541,165,255
542,165,255
543,165,255
544,165,255
612,165,255
613,165,255
614,165,255
476,166,255
477,166,255
478,166,255
614,166,255
615,166,255
475,167,255
476,167,255
615,167,255
474,168,255
475,168,255
615,168,255
616,168,255
473,169,255
474,169,255
616,169,255
617,169,255
618,169,255
619,169,255
473,170,255
619,170,255
620,170,255
473,171,255
474,171,255
475,171,255
620,171,255
469,172,255
470,172,255
471,172,255
472,172,255
473,172,255
474,172,255
475,172,255
476,172,255
477,172,255
478,172,255
618,172,255
619,172,255
620,172,255
467,173,255
468,173,255
469,173,255
619,173,255
620,173,255
621,173,255
466,174,255
467,174,255
621,174,255
466,175,255
621,175,255
466,176,255
467,176,255
617,176,255
618,176,255
619,176,255
620,176,255
621,176,255
467,177,255
468,177,255
469,177,255
470,177,255
617,177,255
618,177,255
619,177,255
620,177,255
621,177,255
622,177,255
623,177,255
463,178,255
464,178,255
465,178,255
466,178,255
467,178,255
468,178,255
469,178,255
470,178,255
471,178,255
623,178,255
624,178,255
625,178,255
626,178,255
627,178,255
2729,178,255
2730,178,255
2731,178,255
2732,178,255
2733,178,255
2734,178,255
2735,178,255
2736,178,255
2737,178,255
2738,178,255
2739,178,255
2740,178,255
2741,178,255
2742,178,255
2743,178,255
2744,178,255
461,179,255
462,179,255
463,179,255
627,179,255
2722,179,255
2723,179,255
2724,179,255
2725,179,255
2726,179,255
2727,179,255
2728,179,255
2729,179,255
2744,179,255
2745,179,255
2746,179,255
2747,179,255
2748,179,255
2749,179,255
2750,179,255
2751,179,255
2752,179,255
2753,179,255
2754,179,255
460,180,255
461,180,255
626,180,255
627,180,255
2719,180,255
2720,180,255
2721,180,255
2722,180,255
2754,180,255
2755,180,255
2756,180,255
2757,180,255
2758,180,255
2759,180,255
2760,180,255
2761,180,255
460,181,255
625,181,255
626,181,255
627,181,255
2716,181,255
2717,181,255
2718,181,255
2719,181,255
2761,181,255
2762,181,255
2763,181,255
2764,181,255
2765,181,255
2766,181,255
2767,181,255
2768,181,255
2769,181,255
2770,181,255
2771,181,255
460,182,255
627,182,255
2712,182,255
2713,182,255
2714,182,255
2715,182,255
2716,182,255
2771,182,255
2772,182,255
2773,182,255
2774,182,255
460,183,255
461,183,255
462,183,255
463,183,255
627,183,255
2710,183,255
2711,183,255
2712,183,255
