X,Y,Value
910,27,255
911,27,255
912,27,255
913,27,255
914,27,255
915,27,255
916,27,255
917,27,255
918,27,255
919,27,255
920,27,255
921,27,255
922,27,255
923,27,255
924,27,255
925,27,255
906,28,255
907,28,255
908,28,255
909,28,255
910,28,255
925,28,255
926,28,255
927,28,255
928,28,255
929,28,255
930,28,255
931,28,255
903,29,255
904,29,255
905,29,255
906,29,255
931,29,255
932,29,255
900,30,255
901,30,255
902,30,255
903,30,255
932,30,255
933,30,255
934,30,255
935,30,255
936,30,255
897,31,255
898,31,255
899,31,255
900,31,255
936,31,255
937,31,255
897,32,255
937,32,255
895,33,255
896,33,255
897,33,255
898,33,255
937,33,255
938,33,255
894,34,255
895,34,255
938,34,255
939,34,255
894,35,255
939,35,255
940,35,255
941,35,255
942,35,255
943,35,255
894,36,255
943,36,255
944,36,255
893,37,255
894,37,255
895,37,255
944,37,255
893,38,255
941,38,255
942,38,255
943,38,255
944,38,255
890,39,255
891,39,255
892,39,255
893,39,255
939,39,255
940,39,255
941,39,255
942,39,255
943,39,255
944,39,255
889,40,255
890,40,255
944,40,255
945,40,255
946,40,255
887,41,255
888,41,255
889,41,255
946,41,255
884,42,255
885,42,255
886,42,255
887,42,255
946,42,255
884,43,255
945,43,255
946,43,255
884,44,255
944,44,255
945,44,255
884,45,255
885,45,255
886,45,255
945,45,255
946,45,255
885,46,255
946,46,255
885,47,255
886,47,255
945,47,255
946,47,255
886,48,255
887,48,255
945,48,255
887,49,255
888,49,255
944,49,255
945,49,255
888,50,255
889,50,255
945,50,255
3238,50,255
3239,50,255
3240,50,255
3241,50,255
3242,50,255
3243,50,255
3244,50,255
3245,50,255
3246,50,255
3247,50,255
3248,50,255
3249,50,255
3250,50,255
3251,50,255
3252,50,255
3253,50,255
3254,50,255
3255,50,255
3256,50,255
3257,50,255
3258,50,255
3259,50,255
3260,50,255
3261,50,255
3262,50,255
886,51,255
887,51,255
888,51,255
945,51,255
946,51,255
947,51,255
3236,51,255
3237,51,255
3238,51,255
3262,51,255
3263,51,255
886,52,255
947,52,255
948,52,255
3234,52,255
3235,52,255
3236,52,255
3263,52,255
3264,52,255
3265,52,255
886,53,255
948,53,255
3230,53,255
3231,53,255
3232,53,255
3233,53,255
3234,53,255
3265,53,255
886,54,255
887,54,255
947,54,255
948,54,255
3230,54,255
3265,54,255
3266,54,255
884,55,255
885,55,255
886,55,255
948,55,255
949,55,255
950,55,255
951,55,255
3227,55,255
3228,55,255
3229,55,255
3230,55,255
3231,55,255
3266,55,255
884,56,255
951,56,255
3225,56,255
3226,56,255
3227,56,255
3266,56,255
3267,56,255
3268,56,255
884,57,255
885,57,255
886,57,255
951,57,255
3221,57,255
3222,57,255
3223,57,255
3224,57,255
3225,57,255
3268,57,255
3269,57,255
884,58,255
885,58,255
948,58,255
949,58,255
950,58,255
951,58,255
3221,58,255
3269,58,255
884,59,255
949,59,255
950,59,255
951,59,255
952,59,255
3221,59,255
3267,59,255
3268,59,255
3269,59,255
884,60,255
885,60,255
952,60,255
953,60,255
954,60,255
3220,60,255
3221,60,255
3265,60,255
3266,60,255
3267,60,255
885,61,255
886,61,255
954,61,255
955,61,255
3220,61,255
3264,61,255
3265,61,255
3266,61,255
885,62,255
955,62,255
3220,62,255
3266,62,255
3267,62,255
3268,62,255
3269,62,255
885,63,255
886,63,255
887,63,255
954,63,255
955,63,255
3220,63,255
3269,63,255
3270,63,255
886,64,255
954,64,255
3214,64,255
3215,64,255
3216,64,255
3217,64,255
3218,64,255
3219,64,255
3220,64,255
3221,64,255
3270,64,255
886,65,255
954,65,255
955,65,255
3212,65,255
3213,65,255
3214,65,255
3268,65,255
3269,65,255
3270,65,255
885,66,255
886,66,255
955,66,255
3212,66,255
3268,66,255
3269,66,255
885,67,255
955,67,255
956,67,255
3212,67,255
3213,67,255
3214,67,255
3215,67,255
3269,67,255
885,68,255
956,68,255
3211,68,255
3212,68,255
3213,68,255
3269,68,255
885,69,255
956,69,255
3206,69,255
3207,69,255
3208,69,255
3209,69,255
3210,69,255
3211,69,255
3268,69,255
3269,69,255
885,70,255
886,70,255
955,70,255
956,70,255
3203,70,255
3204,70,255
3205,70,255
3206,70,255
3269,70,255
885,71,255
886,71,255
955,71,255
956,71,255
957,71,255
3201,71,255
3202,71,255
3203,71,255
3268,71,255
3269,71,255
884,72,255
885,72,255
957,72,255
3200,72,255
3201,72,255
3267,72,255
3268,72,255
882,73,255
883,73,255
884,73,255
957,73,255
958,73,255
959,73,255
3197,73,255
3198,73,255
3199,73,255
3200,73,255
3268,73,255
882,74,255
959,74,255
3196,74,255
3197,74,255
3267,74,255
3268,74,255
3269,74,255
882,75,255
883,75,255
958,75,255
959,75,255
3195,75,255
3196,75,255
3269,75,255
3270,75,255
883,76,255
884,76,255
959,76,255
960,76,255
961,76,255
3195,76,255
3270,76,255
881,77,255
882,77,255
883,77,255
961,77,255
962,77,255
963,77,255
964,77,255
965,77,255
966,77,255
967,77,255
968,77,255
3195,77,255
3267,77,255
3268,77,255
3269,77,255
3270,77,255
880,78,255
881,78,255
968,78,255
969,78,255
3194,78,255
3195,78,255
3265,78,255
3266,78,255
3267,78,255
880,79,255
969,79,255
3191,79,255
3192,79,255
3193,79,255
3194,79,255
3266,79,255
3267,79,255
3268,79,255
880,80,255
881,80,255
969,80,255
970,80,255
3190,80,255
3191,80,255
3268,80,255
3269,80,255
881,81,255
882,81,255
883,81,255
884,81,255
885,81,255
970,81,255
971,81,255
3190,81,255
3269,81,255
885,82,255
886,82,255
971,82,255
972,82,255
973,82,255
3190,82,255
3191,82,255
3192,82,255
3193,82,255
3194,82,255
3269,82,255
884,83,255
885,83,255
886,83,255
973,83,255
3192,83,255
3193,83,255
3267,83,255
3268,83,255
3269,83,255
884,84,255
971,84,255
972,84,255
973,84,255
3189,84,255
3190,84,255
3191,84,255
3192,84,255
3265,84,255
3266,84,255
3267,84,255
884,85,255
885,85,255
971,85,255
972,85,255
3188,85,255
3189,85,255
3265,85,255
885,86,255
972,86,255
973,86,255
974,86,255
975,86,255
976,86,255
3188,86,255
3264,86,255
3265,86,255
885,87,255
886,87,255
976,87,255
977,87,255
3186,87,255
3187,87,255
3188,87,255
3189,87,255
3265,87,255
3266,87,255
3267,87,255
885,88,255
886,88,255
887,88,255
977,88,255
978,88,255
3183,88,255
3184,88,255
3185,88,255
3186,88,255
3267,88,255
3268,88,255
3269,88,255
884,89,255
885,89,255
978,89,255
3182,89,255
3183,89,255
3269,89,255
3270,89,255
884,90,255
978,90,255
3182,90,255
3270,90,255
884,91,255
885,91,255
978,91,255
3182,91,255
3268,91,255
3269,91,255
3270,91,255
885,92,255
886,92,255
974,92,255
975,92,255
976,92,255
977,92,255
978,92,255
3180,92,255
3181,92,255
3182,92,255
3183,92,255
3265,92,255
3266,92,255
3267,92,255
3268,92,255
886,93,255
887,93,255
888,93,255
977,93,255
978,93,255
979,93,255
980,93,255
981,93,255
982,93,255
983,93,255
3180,93,255
3267,93,255
3268,93,255
3269,93,255
3270,93,255
883,94,255
884,94,255
885,94,255
886,94,255
887,94,255
983,94,255
984,94,255
985,94,255
3180,94,255
3181,94,255
3270,94,255
883,95,255
985,95,255
3178,95,255
3179,95,255
3180,95,255
3270,95,255
883,96,255
884,96,255
885,96,255
983,96,255
984,96,255
985,96,255
3173,96,255
3174,96,255
3175,96,255
3176,96,255
3177,96,255
3178,96,255
3270,96,255
885,97,255
886,97,255
980,97,255
981,97,255
982,97,255
983,97,255
3169,97,255
3170,97,255
3171,97,255
3172,97,255
3173,97,255
3270,97,255
886,98,255
887,98,255
888,98,255
889,98,255
982,98,255
983,98,255
984,98,255
3168,98,255
3169,98,255
3269,98,255
3270,98,255
886,99,255
984,99,255
985,99,255
986,99,255
987,99,255
988,99,255
989,99,255
3168,99,255
3267,99,255
3268,99,255
3269,99,255
886,100,255
887,100,255
989,100,255
990,100,255
997,100,255
998,100,255
999,100,255
3165,100,255
3166,100,255
3167,100,255
3168,100,255
3266,100,255
3267,100,255
3268,100,255
885,101,255
886,101,255
887,101,255
990,101,255
991,101,255
992,101,255
993,101,255
994,101,255
995,101,255
997,101,255
999,101,255
3163,101,255
3164,101,255
3165,101,255
3268,101,255
3269,101,255
884,102,255
885,102,255
995,102,255
996,102,255
997,102,255
998,102,255
999,102,255
3162,102,255
3163,102,255
3269,102,255
884,103,255
996,103,255
997,103,255
998,103,255
999,103,255
1000,103,255
1001,103,255
1002,103,255
1003,103,255
1004,103,255
1005,103,255
1006,103,255
1007,103,255
1008,103,255
3162,103,255
3268,103,255
3269,103,255
884,104,255
885,104,255
1008,104,255
3162,104,255
3163,104,255
3267,104,255
3268,104,255
3269,104,255
885,105,255
886,105,255
1007,105,255
1008,105,255
3161,105,255
3162,105,255
3163,105,255
3269,105,255
3270,105,255
886,106,255
1008,106,255
1009,106,255
1010,106,255
1011,106,255
1012,106,255
3158,106,255
3159,106,255
3160,106,255
3161,106,255
3270,106,255
886,107,255
887,107,255
1012,107,255
1013,107,255
1014,107,255
3156,107,255
3157,107,255
3158,107,255
3270,107,255
886,108,255
1014,108,255
3156,108,255
3270,108,255
886,109,255
1014,109,255
1015,109,255
3156,109,255
3269,109,255
3270,109,255
884,110,255
885,110,255
886,110,255
1015,110,255
3156,110,255
3157,110,255
3269,110,255
884,111,255
1015,111,255
3155,111,255
3156,111,255
3269,111,255
884,112,255
885,112,255
1013,112,255
1014,112,255
1015,112,255
1016,112,255
1017,112,255
3155,112,255
3269,112,255
885,113,255
1017,113,255
1018,113,255
1019,113,255
1020,113,255
3155,113,255
3269,113,255
885,114,255
886,114,255
887,114,255
888,114,255
1020,114,255
1021,114,255
1022,114,255
3155,114,255
3156,114,255
3269,114,255
888,115,255
1022,115,255
1023,115,255
1024,115,255
1025,115,255
3156,115,255
3269,115,255
3270,115,255
888,116,255
1025,116,255
1026,116,255
1027,116,255
3156,116,255
3270,116,255
888,117,255
889,117,255
1027,117,255
1028,117,255
1029,117,255
1030,117,255
1031,117,255
3155,117,255
3156,117,255
3270,117,255
889,118,255
890,118,255
1031,118,255
1032,118,255
1033,118,255
1034,118,255
1035,118,255
1036,118,255
3154,118,255
3155,118,255
3269,118,255
3270,118,255
890,119,255
1036,119,255
1037,119,255
3153,119,255
3154,119,255
3265,119,255
3266,119,255
3267,119,255
3268,119,255
3269,119,255
888,120,255
889,120,255
890,120,255
1037,120,255
1038,120,255
1039,120,255
1040,120,255
3152,120,255
3153,120,255
3263,120,255
3264,120,255
3265,120,255
3266,120,255
3267,120,255
3268,120,255
3269,120,255
887,121,255
888,121,255
1040,121,255
3152,121,255
3269,121,255
887,122,255
1036,122,255
1037,122,255
1038,122,255
1039,122,255
1040,122,255
3147,122,255
3148,122,255
3149,122,255
3150,122,255
3151,122,255
3152,122,255
3267,122,255
3268,122,255
3269,122,255
887,123,255
888,123,255
1038,123,255
3142,123,255
3143,123,255
3144,123,255
3145,123,255
3146,123,255
3147,123,255
3265,123,255
3266,123,255
3267,123,255
888,124,255
1037,124,255
1038,124,255
1039,124,255
1040,124,255
3138,124,255
3139,124,255
3140,124,255
3141,124,255
3142,124,255
3266,124,255
888,125,255
889,125,255
1040,125,255
3138,125,255
3264,125,255
3265,125,255
3266,125,255
889,126,255
1039,126,255
1040,126,255
1041,126,255
1042,126,255
1043,126,255
3137,126,255
3138,126,255
3265,126,255
