Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.4023,0.05002,561.5,146.6,0.100106,10.00
0.4023,0.04078,545.2,141.6,0.100931,7.943
0.4023,0.03438,530.0,137.4,0.100695,6.310
0.4023,0.03268,513.9,132.8,0.101603,5.012
0.4023,0.02767,499.1,127.8,0.100411,3.981
0.4023,0.02386,483.8,123.2,0.100560,3.162
0.4023,0.02066,468.8,118.7,0.100096,2.512
0.4023,0.01933,454.1,114.2,0.100333,1.995
0.4023,0.01728,439.9,110.2,0.0995611,1.585
0.4023,0.01584,426.2,105.9,0.100073,1.259
0.4023,0.01462,412.3,102.4,0.100298,1.000
0.4023,0.01356,399.7,99.14,0.0997483,0.7943
0.4023,0.01228,386.9,95.02,0.100078,0.6310
0.4023,0.01133,374.7,90.27,0.100573,0.5012
0.4023,0.01047,363.9,88.09,0.0999447,0.3981
0.4023,9.356E-003,353.5,85.87,0.0995217,0.3162
0.4023,8.738E-003,343.2,81.68,0.100084,0.2512
0.4023,7.277E-003,331.1,80.04,0.101243,0.1995
0.4023,6.002E-003,325.0,80.30,0.101644,0.1585
0.4023,6.276E-003,318.1,73.73,0.0904278,0.1259
0.4023,5.060E-003,304.4,69.84,0.0992889,0.1000
0.4023,4.472E-003,414.1,117.8,3.56840E-003,1.000
0.4023,5.070E-003,422.7,99.41,0.0129398,1.000
0.4023,4.158E-003,423.6,100.6,0.0161348,1.000
0.4023,3.854E-003,424.6,99.72,0.0199581,1.000
0.4023,4.070E-003,424.4,100.1,0.0252363,1.000
0.4023,3.540E-003,424.9,99.20,0.0319526,1.000
0.4023,4.217E-003,425.2,99.81,0.0400642,1.000
0.4023,4.168E-003,425.5,100.2,0.0503946,1.000
0.4023,3.932E-003,425.0,100.2,0.0633704,1.000
0.4023,3.501E-003,423.7,99.95,0.0796474,1.000
0.4023,3.217E-003,423.3,99.93,0.100585,1.000
0.4023,3.226E-003,424.4,100.4,0.125725,1.000
0.4023,2.903E-003,423.6,100.5,0.158443,1.000
0.4023,1.834E-003,422.7,100.7,0.199747,1.000
0.4023,1.383E-003,423.0,101.3,0.251255,1.000
0.4023,1.883E-003,420.9,101.7,0.316306,1.000
0.4023,1.981E-003,417.7,102.1,0.398052,1.000
0.4023,1.098E-003,414.4,102.8,0.501437,1.000
0.4023,1.500E-003,410.2,103.8,0.631225,1.000
0.4023,2.040E-003,404.9,105.2,0.794790,1.000
0.4023,3.089E-003,397.5,107.0,1.00038,1.000
0.4023,2.648E-003,386.8,109.1,1.25973,1.000
0.4023,3.168E-003,374.5,112.0,1.58645,1.000
0.4023,3.913E-003,360.0,116.2,1.99779,1.000
0.4023,3.825E-003,341.5,120.7,2.51568,1.000
0.4023,4.384E-003,320.6,126.0,3.16666,1.000
0.4023,5.060E-003,296.5,131.4,3.99041,1.000
0.4023,5.462E-003,269.3,136.3,5.02241,1.000
0.4023,5.884E-003,239.8,140.1,6.32393,1.000
0.4023,6.453E-003,209.6,142.0,7.96327,1.000
0.4023,6.188E-003,180.0,141.2,10.0239,1.000
0.4023,5.511E-003,152.3,137.7,12.6197,1.000
0.4023,4.884E-003,127.3,132.0,15.8795,1.000
0.4023,4.629E-003,105.4,124.5,19.9844,1.000
0.4023,4.923E-003,86.41,115.7,25.1549,1.000
0.4023,4.364E-003,70.31,106.1,31.6540,1.000
0.4023,5.001E-003,56.71,96.10,39.8438,1.000
0.4023,4.766E-003,45.37,86.18,50.1572,1.000
0.4023,4.570E-003,36.00,76.60,63.1349,1.000
0.4023,4.217E-003,28.36,67.58,79.4698,1.000
0.4023,4.795E-003,22.18,59.23,100.041,1.000
0.4023,5.129E-003,17.23,51.64,125.917,1.000
0.4023,5.815E-003,13.26,44.80,158.516,1.000
0.4023,5.403E-003,10.15,38.71,199.552,1.000
0.4023,4.599E-003,10.15,38.66,199.979,1.000
