Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.4028,0.04678,518.3,132.1,0.100002,10.00
0.4028,0.03970,495.0,128.5,0.100678,7.943
0.4028,0.03534,476.0,124.9,0.100453,6.310
0.4028,0.03199,459.6,120.3,0.100051,5.012
0.4028,0.03005,443.8,115.7,0.100469,3.981
0.4028,0.02781,429.1,111.4,0.100333,3.162
0.4028,0.02594,414.9,107.1,0.100179,2.512
0.4028,0.02488,401.3,102.9,0.100104,1.995
0.4028,0.02314,388.4,98.95,0.0999582,1.585
0.4028,0.02309,375.6,95.15,0.100256,1.259
0.4028,0.02127,363.6,91.76,0.0999960,1.000
0.4028,0.02072,352.2,88.52,0.0998202,0.7943
0.4028,0.02120,341.0,85.34,0.0997509,0.6310
0.4028,0.01996,329.9,81.32,0.0998878,0.5012
0.4028,0.02067,320.4,78.36,0.0998588,0.3981
0.4028,0.01952,311.9,74.85,0.0998560,0.3162
0.4028,0.01980,301.1,71.14,0.100300,0.2512
0.4028,0.01897,292.1,70.49,0.102195,0.1995
0.4028,0.01846,291.1,65.87,0.100922,0.1585
0.4028,0.01725,263.1,71.33,0.0984701,0.1259
0.4028,0.03016,247.7,71.56,0.106699,0.1000
0.4028,0.02429,374.8,102.5,3.24575E-003,1.000
0.4028,0.02366,378.9,93.16,0.0119981,1.000
0.4028,0.02308,383.0,92.35,0.0161313,1.000
0.4028,0.02207,382.8,91.92,0.0195466,1.000
0.4028,0.02113,383.6,92.23,0.0248409,1.000
0.4028,0.02062,383.7,92.42,0.0316447,1.000
0.4028,0.01978,384.1,92.71,0.0396912,1.000
0.4028,0.01911,383.4,92.36,0.0498689,1.000
0.4028,0.01880,382.3,92.47,0.0633645,1.000
0.4028,0.01846,381.4,91.97,0.0795604,1.000
0.4028,0.01854,381.6,92.08,0.100436,1.000
0.4028,0.01701,380.8,92.15,0.125778,1.000
0.4028,0.01670,380.5,92.27,0.158404,1.000
0.4028,0.01672,379.5,92.26,0.199379,1.000
0.4028,0.01605,377.9,92.42,0.251170,1.000
0.4028,0.01571,376.1,92.58,0.316123,1.000
0.4028,0.01541,374.0,92.83,0.398096,1.000
0.4028,0.01615,371.5,93.38,0.501185,1.000
0.4028,0.01606,368.6,94.24,0.631060,1.000
0.4028,0.01475,364.7,95.37,0.794865,1.000
0.4028,0.01447,358.9,96.74,1.00039,1.000
0.4028,0.01446,350.7,98.22,1.25958,1.000
0.4028,0.01456,340.5,100.4,1.58626,1.000
0.4028,0.01378,328.3,103.2,1.99725,1.000
0.4028,0.01326,312.9,106.9,2.51533,1.000
0.4028,0.01230,294.6,111.5,3.16682,1.000
0.4028,0.01316,273.1,116.4,3.98979,1.000
0.4028,0.01281,247.9,121.2,5.02398,1.000
0.4028,0.01209,220.3,125.2,6.32419,1.000
0.4028,0.01093,192.0,127.7,7.96355,1.000
0.4028,9.689E-003,164.5,127.8,10.0225,1.000
0.4028,9.699E-003,139.2,125.3,12.6160,1.000
0.4028,9.385E-003,116.7,120.5,15.8751,1.000
0.4028,8.238E-003,97.09,114.0,19.9799,1.000
0.4028,7.630E-003,80.09,106.1,25.1516,1.000
0.4028,7.502E-003,65.55,97.38,31.6568,1.000
0.4028,7.188E-003,53.21,88.37,39.8424,1.000
0.4028,7.051E-003,42.80,79.38,50.1590,1.000
0.4028,7.355E-003,34.15,70.67,63.1327,1.000
0.4028,6.718E-003,27.06,62.44,79.4685,1.000
0.4028,6.688E-003,21.29,54.80,100.036,1.000
0.4028,6.217E-003,16.62,47.84,125.917,1.000
0.4028,5.825E-003,12.92,41.55,158.525,1.000
0.4028,5.148E-003,9.996,36.02,199.528,1.000
0.4028,5.158E-003,10.01,35.96,199.979,1.000
