Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.4096,0.04519,342.8,86.03,0.0998479,10.00
0.4096,0.03709,316.2,85.16,0.101127,7.943
0.4096,0.03347,297.4,83.18,0.100644,6.310
0.4096,0.03050,282.0,80.20,0.100447,5.012
0.4096,0.02906,268.8,77.42,0.100759,3.981
0.4096,0.02655,257.1,74.49,0.100614,3.162
0.4096,0.02537,246.6,71.79,0.100112,2.512
0.4096,0.02363,236.8,69.08,0.100326,1.995
0.4096,0.02324,227.6,66.62,0.0999268,1.585
0.4096,0.02136,218.9,64.14,0.0999474,1.259
0.4096,0.02089,210.4,61.83,0.0998277,1.000
0.4096,0.02073,202.2,59.46,0.100254,0.7943
0.4096,0.01989,194.7,57.15,0.0999184,0.6310
0.4096,0.01820,187.3,55.06,0.0999680,0.5012
0.4096,0.01817,180.4,53.04,0.0999678,0.3981
0.4096,0.01751,173.3,51.00,0.0997777,0.3162
0.4096,0.01648,167.1,48.81,0.100750,0.2512
0.4096,0.01572,159.3,48.23,0.102583,0.1995
0.4096,0.01588,153.9,45.36,0.101018,0.1585
0.4096,0.01533,148.0,43.54,0.101492,0.1259
0.4096,0.01527,142.5,42.23,0.100287,0.1000
0.4096,0.01465,213.2,61.57,3.84013E-003,1.000
0.4096,0.01415,214.5,58.99,0.0121981,1.000
0.4096,0.01376,215.3,59.94,0.0157588,1.000
0.4096,0.01317,215.5,60.22,0.0199724,1.000
0.4096,0.01282,215.3,60.37,0.0252289,1.000
0.4096,0.01270,215.4,60.51,0.0321952,1.000
0.4096,0.01286,216.2,60.77,0.0398602,1.000
0.4096,0.01245,216.4,60.74,0.0499356,1.000
0.4096,0.01204,216.5,60.67,0.0627632,1.000
0.4096,0.01102,216.6,60.71,0.0795300,1.000
0.4096,0.01167,216.8,60.64,0.100247,1.000
0.4096,0.01119,217.2,60.72,0.125940,1.000
0.4096,0.01164,217.3,60.76,0.158252,1.000
0.4096,0.01148,217.1,60.63,0.198984,1.000
0.4096,0.01075,217.8,60.97,0.251382,1.000
0.4096,9.836E-003,217.4,60.91,0.316121,1.000
0.4096,9.336E-003,217.3,60.91,0.397975,1.000
0.4096,9.816E-003,217.2,61.00,0.501335,1.000
0.4096,9.405E-003,217.2,61.15,0.630736,1.000
0.4096,0.01001,216.9,61.30,0.794468,1.000
0.4096,9.444E-003,215.8,61.28,1.00020,1.000
0.4096,9.787E-003,213.8,61.09,1.25889,1.000
0.4096,8.434E-003,211.7,61.04,1.58545,1.000
0.4096,8.630E-003,209.5,61.20,1.99544,1.000
0.4096,8.394E-003,206.5,61.37,2.51260,1.000
0.4096,8.375E-003,203.4,61.95,3.16406,1.000
0.4096,8.198E-003,199.5,62.72,3.98225,1.000
0.4096,8.924E-003,193.8,63.54,5.01721,1.000
0.4096,8.630E-003,186.7,64.62,6.31703,1.000
0.4096,8.100E-003,178.0,66.00,7.95196,1.000
0.4096,9.101E-003,167.3,67.50,10.0140,1.000
0.4096,8.953E-003,154.8,69.05,12.6116,1.000
0.4096,8.953E-003,140.9,70.41,15.8731,1.000
0.4096,8.130E-003,126.0,71.23,19.9872,1.000
0.4096,7.375E-003,111.0,71.14,25.1603,1.000
0.4096,6.914E-003,96.41,69.96,31.6702,1.000
0.4096,6.021E-003,82.83,67.70,39.8561,1.000
0.4096,6.247E-003,70.49,64.45,50.1665,1.000
0.4096,6.011E-003,59.51,60.51,63.1434,1.000
0.4096,5.923E-003,49.82,56.07,79.4776,1.000
0.4096,6.188E-003,41.40,51.41,100.060,1.000
0.4096,6.443E-003,34.10,46.71,125.927,1.000
0.4096,7.404E-003,27.86,42.13,158.516,1.000
0.4096,9.424E-003,22.59,37.76,199.538,1.000
0.4096,7.924E-003,22.56,37.85,199.966,1.000
