Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1618,0.02732,87.21,11.45,0.0996332,10.00
0.1618,0.02190,64.51,11.91,0.101352,7.943
0.1618,0.01702,50.08,11.76,0.100879,6.310
0.1618,0.01454,40.16,11.68,0.101847,5.012
0.1618,0.01401,33.36,11.67,0.100771,3.981
0.1618,0.01127,28.48,11.34,0.0994060,3.162
0.1618,0.01098,25.13,11.04,0.101069,2.512
0.1618,9.905E-003,22.32,10.74,0.101180,1.995
0.1618,8.767E-003,20.10,10.38,0.100758,1.585
0.1618,7.649E-003,18.17,9.961,0.100616,1.259
0.1618,7.806E-003,16.53,9.326,0.0986692,1.000
0.1618,6.453E-003,15.01,8.788,0.0983132,0.7943
0.1618,6.051E-003,13.35,8.809,0.0986998,0.6310
0.1618,5.580E-003,11.99,8.117,0.100671,0.5012
0.1618,5.570E-003,11.18,8.113,0.100688,0.3981
0.1618,4.570E-003,9.664,7.756,0.0972433,0.3162
0.1618,5.276E-003,9.109,6.485,0.0989045,0.2512
0.1618,4.903E-003,7.588,6.101,0.0901323,0.1995
0.1618,3.962E-003,7.416,6.670,0.0753218,0.1585
0.1618,4.148E-003,6.878,6.186,0.0718495,0.1259
0.1618,3.295E-003,3.658,5.818,0.0824913,0.1000
0.1618,2.471E-003,12.48,13.29,1.43478E-003,1.000
0.1618,2.648E-003,16.50,8.871,0.0110050,1.000
0.1618,3.138E-003,16.91,9.158,0.0173825,1.000
0.1618,2.334E-003,16.59,8.895,0.0206876,1.000
0.1618,2.550E-003,16.60,9.094,0.0248053,1.000
0.1618,1.991E-003,16.55,9.126,0.0313611,1.000
0.1618,1.648E-003,16.73,9.144,0.0390028,1.000
0.1618,1.618E-003,16.60,9.253,0.0500123,1.000
0.1618,1.383E-003,16.72,9.083,0.0626443,1.000
0.1618,1.147E-003,16.67,9.185,0.0804472,1.000
0.1618,5.394E-004,16.73,9.285,0.100808,1.000
0.1618,1.010E-003,16.71,9.225,0.127036,1.000
0.1618,8.924E-004,16.71,9.226,0.157479,1.000
0.1618,2.314E-003,16.82,9.261,0.197608,1.000
0.1618,9.807E-004,16.79,9.261,0.249667,1.000
0.1618,3.138E-004,16.84,9.363,0.316231,1.000
0.1618,1.089E-003,16.89,9.401,0.400327,1.000
0.1618,8.336E-004,16.96,9.402,0.502423,1.000
0.1618,1.304E-003,17.06,9.471,0.630567,1.000
0.1618,1.265E-003,17.13,9.541,0.793514,1.000
0.1618,1.304E-003,17.24,9.618,0.999046,1.000
0.1618,1.677E-003,17.38,9.710,1.25950,1.000
0.1618,1.285E-003,17.51,9.828,1.58356,1.000
0.1618,9.709E-004,17.62,9.917,1.99431,1.000
0.1618,1.961E-003,17.70,9.983,2.51193,1.000
0.1618,1.844E-003,17.75,10.01,3.16335,1.000
0.1618,2.648E-003,17.70,9.971,3.98119,1.000
0.1618,1.824E-003,17.61,9.904,5.01264,1.000
0.1618,2.854E-003,17.60,9.907,6.30953,1.000
0.1618,2.765E-003,17.60,9.931,7.94462,1.000
0.1618,2.461E-003,17.53,9.905,9.99868,1.000
0.1618,2.471E-003,17.47,9.910,12.5833,1.000
0.1618,3.256E-003,17.39,9.913,15.8560,1.000
0.1618,2.785E-003,17.25,9.912,19.9536,1.000
0.1618,2.010E-003,17.05,9.910,25.1231,1.000
0.1618,3.089E-003,16.78,9.917,31.6192,1.000
0.1618,2.197E-003,16.39,9.917,39.8138,1.000
0.1618,2.520E-003,15.84,9.911,50.1339,1.000
0.1618,2.638E-003,15.09,9.892,63.1285,1.000
0.1618,3.060E-003,14.13,9.837,79.4618,1.000
0.1618,3.128E-003,12.95,9.722,100.019,1.000
0.1618,4.433E-003,11.61,9.510,125.926,1.000
0.1618,4.011E-003,10.17,9.178,158.509,1.000
0.1618,4.021E-003,8.720,8.720,199.555,1.000
0.1618,4.403E-003,8.692,8.698,200.027,1.000
