Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.0684,0.03227,87.85,32.51,0.100002,10.00
0.0684,0.02826,86.17,31.33,0.100579,7.943
0.0684,0.02512,84.44,29.47,0.100604,6.310
0.0684,0.02309,81.90,27.79,0.0997824,5.012
0.0684,0.02591,79.48,26.03,0.0996980,3.981
0.0684,0.02448,77.29,24.34,0.0989198,3.162
0.0684,0.02424,75.20,22.81,0.0996684,2.512
0.0684,0.02749,72.87,21.20,0.101992,1.995
0.0684,0.02954,70.79,19.91,0.0994282,1.585
0.0684,0.03109,68.49,18.82,0.100283,1.259
0.0684,0.03080,67.32,17.45,0.100060,1.000
0.0684,0.03003,65.31,16.44,0.0964825,0.7943
0.0684,0.02947,63.43,15.39,0.0987608,0.6310
0.0684,0.02837,62.05,14.62,0.0969802,0.5012
0.0684,0.02692,59.91,12.81,0.101486,0.3981
0.0684,0.02663,58.84,12.90,0.0994365,0.3162
0.0684,0.02593,57.99,12.23,0.0990675,0.2512
0.0684,0.02914,55.80,18.78,0.0910411,0.1995
0.0684,0.02642,54.04,12.65,0.0808921,0.1585
0.0684,0.02334,54.13,11.47,0.0739883,0.1259
0.0684,0.02680,56.47,11.22,0.0665570,0.1000
0.0684,0.03257,49.09,14.80,5.27114E-004,1.000
0.0684,0.02823,69.61,17.72,7.12000E-003,1.000
0.0684,0.02593,70.78,17.03,0.0166002,1.000
0.0684,0.02130,71.10,16.59,0.0206859,1.000
0.0684,0.02659,71.31,17.10,0.0275667,1.000
0.0684,0.02655,70.84,17.62,0.0334152,1.000
0.0684,0.02399,71.21,17.76,0.0414235,1.000
0.0684,0.02548,71.04,17.56,0.0497051,1.000
0.0684,0.01995,71.16,17.54,0.0619842,1.000
0.0684,0.01590,71.08,17.57,0.0793296,1.000
0.0684,0.01453,71.17,17.63,0.101806,1.000
0.0684,8.973E-003,70.87,17.78,0.128209,1.000
0.0684,4.776E-003,70.99,17.73,0.156794,1.000
0.0684,5.050E-003,71.25,17.75,0.197761,1.000
0.0684,3.883E-003,71.31,17.75,0.252886,1.000
0.0684,6.973E-003,71.38,17.72,0.316838,1.000
0.0684,6.718E-003,71.22,17.79,0.396593,1.000
0.0684,5.600E-003,71.11,17.80,0.498657,1.000
0.0684,7.394E-003,70.82,17.78,0.630271,1.000
0.0684,7.061E-003,70.33,17.78,0.794948,1.000
0.0684,6.178E-003,69.72,17.79,0.999521,1.000
0.0684,6.296E-003,68.83,17.82,1.25857,1.000
0.0684,0.01530,67.67,17.86,1.58611,1.000
0.0684,0.01695,66.28,17.84,1.99504,1.000
0.0684,9.709E-003,64.52,17.77,2.51358,1.000
0.0684,5.502E-003,62.18,17.66,3.16419,1.000
0.0684,1.540E-003,59.40,17.46,3.98456,1.000
0.0684,2.609E-003,56.34,17.20,5.01758,1.000
0.0684,2.511E-003,53.17,16.92,6.31477,1.000
0.0684,-5.001E-004,49.90,16.74,7.95559,1.000
0.0684,1.089E-003,46.63,16.54,10.0177,1.000
0.0684,-1.471E-004,43.06,16.33,12.6130,1.000
0.0684,1.167E-003,39.17,15.98,15.8852,1.000
0.0684,1.344E-003,35.18,15.71,20.0037,1.000
0.0684,9.512E-004,31.12,15.40,25.1911,1.000
0.0684,7.747E-004,27.02,15.02,31.7204,1.000
0.0684,-7.453E-004,23.00,14.55,39.9899,1.000
0.0684,1.177E-003,19.24,13.98,50.3609,1.000
0.0684,1.981E-003,15.77,13.31,63.4037,1.000
0.0684,3.187E-003,12.66,12.53,79.7733,1.000
0.0684,1.795E-003,9.892,11.66,100.447,1.000
0.0684,2.020E-003,7.577,10.69,126.408,1.000
0.0684,5.099E-004,5.771,9.668,158.959,1.000
0.0684,2.059E-004,4.375,8.630,200.091,1.000
0.0684,1.569E-003,4.165,8.402,200.265,1.000
