Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.2093,0.03380,50.68,13.44,0.0999357,10.00
0.2093,0.02964,42.48,12.71,0.100365,7.943
0.2093,0.02838,37.60,12.77,0.100728,6.310
0.2093,0.02705,34.13,12.81,0.102156,5.012
0.2093,0.02714,31.33,12.76,0.100162,3.981
0.2093,0.02579,28.93,12.74,0.0992830,3.162
0.2093,0.02509,26.79,12.31,0.100041,2.512
0.2093,0.02424,24.74,12.02,0.0995557,1.995
0.2093,0.02364,22.95,11.71,0.0995103,1.585
0.2093,0.02333,21.15,11.34,0.100155,1.259
0.2093,0.02337,19.48,11.03,0.101098,1.000
0.2093,0.02258,17.82,10.59,0.101323,0.7943
0.2093,0.02213,16.25,10.03,0.0996236,0.6310
0.2093,0.02154,15.01,9.751,0.0984624,0.5012
0.2093,0.02162,13.42,9.268,0.0999676,0.3981
0.2093,0.02199,11.99,8.740,0.0988982,0.3162
0.2093,0.02204,10.64,8.741,0.0997201,0.2512
0.2093,0.02169,8.654,7.196,0.0978954,0.1995
0.2093,0.02086,7.515,6.837,0.0820416,0.1585
0.2093,0.02160,8.657,6.307,0.0741025,0.1259
0.2093,0.02067,6.346,6.276,0.0711183,0.1000
0.2093,0.02075,22.87,8.121,1.90359E-003,1.000
0.2093,0.02062,20.77,11.48,0.0109795,1.000
0.2093,0.01931,20.03,11.05,0.0164764,1.000
0.2093,0.02036,19.62,10.74,0.0191750,1.000
0.2093,0.02006,19.69,11.02,0.0249955,1.000
0.2093,0.02001,19.67,11.25,0.0310149,1.000
0.2093,0.02087,19.36,10.97,0.0401969,1.000
0.2093,0.02057,19.64,10.92,0.0494864,1.000
0.2093,0.02074,19.60,10.92,0.0619458,1.000
0.2093,0.02056,19.53,11.00,0.0789872,1.000
0.2093,0.02056,19.53,11.01,0.0988049,1.000
0.2093,0.02064,19.60,10.92,0.125847,1.000
0.2093,0.01997,19.57,10.99,0.158350,1.000
0.2093,0.01896,19.55,10.98,0.199178,1.000
0.2093,0.01896,19.59,11.01,0.251085,1.000
0.2093,0.01884,19.57,11.03,0.316886,1.000
0.2093,0.01917,19.57,11.01,0.397372,1.000
0.2093,0.01853,19.55,11.00,0.501151,1.000
0.2093,0.01958,19.53,10.99,0.631804,1.000
0.2093,0.02005,19.50,10.94,0.794408,1.000
0.2093,0.01990,19.44,10.90,0.999796,1.000
0.2093,0.01945,19.36,10.82,1.25784,1.000
0.2093,0.01949,19.22,10.70,1.58329,1.000
0.2093,0.01962,19.06,10.56,1.99552,1.000
0.2093,0.01888,18.98,10.50,2.51244,1.000
0.2093,0.01892,19.09,10.58,3.16197,1.000
0.2093,0.01921,19.23,10.71,3.98136,1.000
0.2093,0.01891,19.16,10.66,5.01357,1.000
0.2093,0.01897,19.11,10.64,6.30882,1.000
0.2093,0.01898,19.08,10.64,7.94191,1.000
0.2093,0.01824,19.04,10.64,9.99951,1.000
0.2093,0.01922,18.97,10.62,12.5839,1.000
0.2093,0.01845,18.87,10.61,15.8536,1.000
0.2093,0.01874,18.76,10.61,19.9424,1.000
0.2093,0.01815,18.57,10.59,25.1301,1.000
0.2093,0.01851,18.31,10.57,31.6303,1.000
0.2093,0.01825,17.95,10.53,39.8230,1.000
0.2093,0.01851,17.43,10.48,50.1141,1.000
0.2093,0.01863,16.73,10.40,63.1007,1.000
0.2093,0.01884,15.80,10.27,79.4391,1.000
0.2093,0.01832,14.63,10.08,100.024,1.000
0.2093,0.01890,13.23,9.803,125.914,1.000
0.2093,0.02022,11.65,9.419,158.531,1.000
0.2093,0.02119,10.00,8.922,199.557,1.000
0.2093,0.02056,9.969,8.908,200.017,1.000
