Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.0744,9.748E-003,26.70,8.541,0.102718,10.00
0.0744,6.561E-003,22.56,8.805,0.100572,7.943
0.0744,5.845E-003,18.88,8.536,0.100561,6.310
0.0744,4.609E-003,16.05,8.495,0.0991607,5.012
0.0744,3.658E-003,14.21,7.910,0.0988667,3.981
0.0744,2.628E-003,12.40,7.476,0.101540,3.162
0.0744,2.618E-003,11.06,7.053,0.0989358,2.512
0.0744,2.040E-003,9.874,6.584,0.103972,1.995
0.0744,1.873E-003,8.804,6.104,0.0996609,1.585
0.0744,1.952E-003,7.934,5.739,0.0995907,1.259
0.0744,1.108E-003,6.990,5.351,0.100989,1.000
0.0744,1.216E-003,6.284,4.943,0.105580,0.7943
0.0744,1.628E-003,5.695,4.586,0.101933,0.6310
0.0744,9.807E-004,4.750,4.499,0.0984730,0.5012
0.0744,1.040E-003,4.564,3.972,0.0981539,0.3981
0.0744,9.512E-004,3.645,3.664,0.103527,0.3162
0.0744,2.069E-003,3.590,3.027,0.101336,0.2512
0.0744,9.611E-004,3.340,3.171,0.0822581,0.1995
0.0744,8.336E-004,2.949,2.274,0.0818282,0.1585
0.0744,5.884E-005,2.648,2.263,0.0902340,0.1259
0.0744,1.500E-003,1.706,2.300,0.0816696,0.1000
0.0744,1.481E-003,1.269,6.751,9.69721E-004,1.000
0.0744,1.677E-003,6.551,4.671,5.01447E-003,1.000
0.0744,1.422E-003,7.088,6.197,0.0181756,1.000
0.0744,1.314E-003,7.063,5.102,0.0191715,1.000
0.0744,1.893E-003,6.773,5.623,0.0238718,1.000
0.0744,1.549E-003,7.307,5.589,0.0290459,1.000
0.0744,2.609E-003,7.089,5.443,0.0371022,1.000
0.0744,1.746E-003,7.589,5.619,0.0480583,1.000
0.0744,1.569E-003,7.322,5.496,0.0626510,1.000
0.0744,1.687E-003,7.168,5.345,0.0781285,1.000
0.0744,2.059E-003,7.384,5.329,0.0967730,1.000
0.0744,2.403E-003,7.145,5.345,0.122633,1.000
0.0744,1.844E-003,7.248,5.349,0.159250,1.000
0.0744,2.079E-003,7.295,5.274,0.196222,1.000
0.0744,2.432E-003,7.206,5.372,0.255641,1.000
0.0744,3.040E-003,7.231,5.347,0.314354,1.000
0.0744,3.109E-003,7.225,5.383,0.402151,1.000
0.0744,1.324E-003,7.240,5.370,0.506952,1.000
0.0744,2.795E-003,7.248,5.365,0.634293,1.000
0.0744,3.315E-003,7.231,5.379,0.795733,1.000
0.0744,1.902E-003,7.232,5.385,1.00033,1.000
0.0744,2.805E-003,7.238,5.381,1.25862,1.000
0.0744,2.854E-003,7.238,5.398,1.58450,1.000
0.0744,1.657E-003,7.235,5.407,1.99379,1.000
0.0744,1.883E-003,7.217,5.404,2.51113,1.000
0.0744,1.667E-003,7.193,5.396,3.16163,1.000
0.0744,1.206E-003,7.155,5.380,3.98334,1.000
0.0744,1.559E-003,7.111,5.368,5.01280,1.000
0.0744,5.786E-004,7.068,5.356,6.31117,1.000
0.0744,1.020E-003,7.042,5.359,7.94626,1.000
0.0744,9.218E-004,7.013,5.387,10.0011,1.000
0.0744,-1.765E-004,6.962,5.395,12.5922,1.000
0.0744,1.344E-003,6.878,5.380,15.8524,1.000
0.0744,1.049E-003,6.783,5.374,19.9566,1.000
0.0744,1.118E-003,6.660,5.357,25.1316,1.000
0.0744,1.648E-003,6.518,5.349,31.6317,1.000
0.0744,1.196E-003,6.337,5.327,39.8260,1.000
0.0744,1.049E-003,6.116,5.301,50.1352,1.000
0.0744,1.363E-003,5.845,5.259,63.1073,1.000
0.0744,1.795E-003,5.513,5.199,79.4700,1.000
0.0744,1.942E-003,5.128,5.115,100.033,1.000
0.0744,2.775E-003,4.686,4.996,125.942,1.000
0.0744,3.423E-003,4.198,4.836,158.546,1.000
0.0744,2.746E-003,3.686,4.632,199.564,1.000
0.0744,3.119E-003,3.666,4.616,200.043,1.000
