Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1997,0.04851,39.22,7.013,0.0998695,10.00
0.1997,0.04216,32.50,9.825,0.100593,7.943
0.1997,0.03734,28.73,10.14,0.100547,6.310
0.1997,0.03457,25.93,10.17,0.102075,5.012
0.1997,0.03240,23.77,9.941,0.0998419,3.981
0.1997,0.03047,21.94,9.754,0.101465,3.162
0.1997,0.02865,20.20,9.450,0.0999962,2.512
0.1997,0.02694,18.61,9.070,0.100409,1.995
0.1997,0.02575,17.15,8.676,0.100439,1.585
0.1997,0.02581,15.80,8.159,0.0993499,1.259
0.1997,0.02426,14.53,8.102,0.0998344,1.000
0.1997,0.02348,13.34,7.748,0.0991152,0.7943
0.1997,0.02253,12.17,7.378,0.0991185,0.6310
0.1997,0.02225,11.08,6.928,0.101400,0.5012
0.1997,0.02066,10.19,6.676,0.0992076,0.3981
0.1997,0.02007,9.025,6.061,0.101069,0.3162
0.1997,0.01985,8.487,5.915,0.0990152,0.2512
0.1997,0.01973,7.859,5.537,0.0868306,0.1995
0.1997,0.01841,6.140,4.739,0.0778812,0.1585
0.1997,0.01773,6.434,4.965,0.0748589,0.1259
0.1997,0.01788,5.417,5.345,0.0686255,0.1000
0.1997,0.01842,15.00,8.235,4.51368E-003,1.000
0.1997,0.01801,14.66,7.920,0.0112856,1.000
0.1997,0.01705,14.75,8.119,0.0150936,1.000
0.1997,0.01642,14.67,7.833,0.0203923,1.000
0.1997,0.01618,14.69,7.978,0.0246477,1.000
0.1997,0.01582,14.92,7.994,0.0324255,1.000
0.1997,0.01556,14.77,8.037,0.0412613,1.000
0.1997,0.01493,14.74,8.111,0.0508065,1.000
0.1997,0.01481,14.77,8.183,0.0640065,1.000
0.1997,0.01423,14.74,8.112,0.0799974,1.000
0.1997,0.01415,14.79,8.082,0.0995575,1.000
0.1997,0.01411,14.69,8.053,0.126760,1.000
0.1997,0.01455,14.76,8.110,0.157550,1.000
0.1997,0.01437,14.75,8.093,0.199314,1.000
0.1997,0.01289,14.74,8.106,0.250618,1.000
0.1997,0.01327,14.74,8.103,0.316936,1.000
0.1997,0.01305,14.77,8.113,0.398794,1.000
0.1997,0.01299,14.77,8.114,0.502165,1.000
0.1997,0.01355,14.77,8.110,0.631044,1.000
0.1997,0.01195,14.77,8.096,0.795438,1.000
0.1997,0.01136,14.73,8.082,1.00003,1.000
0.1997,0.01154,14.69,8.034,1.25880,1.000
0.1997,0.01176,14.61,7.959,1.58459,1.000
0.1997,0.01182,14.54,7.889,1.99446,1.000
0.1997,0.01153,14.50,7.843,2.51121,1.000
0.1997,0.01071,14.49,7.847,3.16185,1.000
0.1997,0.01191,14.50,7.863,3.98158,1.000
0.1997,0.01100,14.49,7.846,5.01209,1.000
0.1997,0.01120,14.45,7.825,6.31094,1.000
0.1997,0.01077,14.44,7.845,7.94383,1.000
0.1997,0.01030,14.38,7.825,10.0018,1.000
0.1997,0.01098,14.31,7.813,12.5921,1.000
0.1997,0.01025,14.22,7.810,15.8419,1.000
0.1997,0.01031,14.10,7.800,19.9435,1.000
0.1997,9.856E-003,13.92,7.789,25.1388,1.000
0.1997,0.01003,13.68,7.775,31.6224,1.000
0.1997,0.01107,13.34,7.757,39.8174,1.000
0.1997,0.01119,12.88,7.726,50.1212,1.000
0.1997,0.01009,12.27,7.677,63.1024,1.000
0.1997,0.01125,11.49,7.596,79.4513,1.000
0.1997,0.01115,10.56,7.471,100.026,1.000
0.1997,0.01082,9.487,7.279,125.921,1.000
0.1997,0.01174,8.342,7.009,158.523,1.000
0.1997,0.01277,7.192,6.651,199.572,1.000
0.1997,0.01231,7.164,6.640,200.005,1.000
