Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.0732,0.02767,55.38,8.493,0.100840,10.00
0.0732,0.01080,52.05,9.656,0.100696,7.943
0.0732,-0.01090,49.42,9.464,0.100020,6.310
0.0732,-0.02288,47.23,8.917,0.100571,5.012
0.0732,-0.03007,45.15,8.370,0.100233,3.981
0.0732,-0.03969,43.58,8.057,0.0980073,3.162
0.0732,-0.04551,42.11,7.603,0.100910,2.512
0.0732,-0.05052,40.36,7.040,0.102918,1.995
0.0732,-0.05395,39.20,6.936,0.102441,1.585
0.0732,-0.05801,38.09,6.725,0.0968872,1.259
0.0732,-0.06151,37.05,6.088,0.0980138,1.000
0.0732,-0.06533,35.73,6.243,0.0955910,0.7943
0.0732,-0.06843,34.88,6.098,0.103703,0.6310
0.0732,-0.07010,33.92,6.084,0.0983846,0.5012
0.0732,-0.07409,32.76,5.660,0.0992484,0.3981
0.0732,-0.07553,31.72,5.559,0.0998552,0.3162
0.0732,-0.07907,30.64,5.537,0.0997416,0.2512
0.0732,-0.08031,30.97,5.826,0.0917595,0.1995
0.0732,-0.08098,29.69,6.950,0.0779871,0.1585
0.0732,-0.08200,27.18,4.951,0.0738792,0.1259
0.0732,-0.08455,27.90,4.243,0.0694533,0.1000
0.0732,-0.08360,26.78,5.666,2.96420E-004,1.000
0.0732,-0.08296,34.15,7.154,0.0161434,1.000
0.0732,-0.08517,34.57,5.606,0.0163622,1.000
0.0732,-0.08580,34.12,5.614,0.0215994,1.000
0.0732,-0.08675,34.06,5.729,0.0261328,1.000
0.0732,-0.08891,34.28,5.743,0.0302983,1.000
0.0732,-0.08752,33.84,5.732,0.0398895,1.000
0.0732,-0.04788,33.75,4.898,0.0456022,1.000
0.0732,-0.05688,33.55,5.147,0.0608971,1.000
0.0732,-0.06122,33.53,5.418,0.0772141,1.000
0.0732,-0.06811,33.46,5.391,0.0990768,1.000
0.0732,-0.07228,33.42,5.398,0.126978,1.000
0.0732,-0.07264,33.42,5.456,0.159914,1.000
0.0732,-0.07589,33.30,5.334,0.201493,1.000
0.0732,-0.07848,33.22,5.442,0.251923,1.000
0.0732,-0.07625,33.28,5.407,0.318880,1.000
0.0732,-0.07642,33.19,5.433,0.400130,1.000
0.0732,-0.07494,33.12,5.445,0.502013,1.000
0.0732,-0.08027,32.98,5.485,0.631998,1.000
0.0732,-0.07956,32.84,5.509,0.793132,1.000
0.0732,-0.07928,32.73,5.465,0.999119,1.000
0.0732,-0.07821,32.52,5.468,1.25721,1.000
0.0732,-0.07659,32.20,5.475,1.58515,1.000
0.0732,-0.07648,31.89,5.467,1.99537,1.000
0.0732,-0.07856,31.43,5.457,2.51249,1.000
0.0732,-0.07940,30.82,5.459,3.16251,1.000
0.0732,-0.07920,30.08,5.449,3.98171,1.000
0.0732,-0.07616,29.32,5.388,5.01189,1.000
0.0732,-0.07432,28.24,5.377,6.31171,1.000
0.0732,-0.07443,27.02,5.349,7.94809,1.000
0.0732,-0.07841,25.53,5.351,10.0112,1.000
0.0732,-0.07408,23.72,5.348,12.6049,1.000
0.0732,-0.07748,21.84,5.295,15.8743,1.000
0.0732,-0.07456,19.81,5.226,19.9929,1.000
0.0732,-0.07029,17.66,5.122,25.1751,1.000
0.0732,-0.06919,15.50,5.013,31.7133,1.000
0.0732,-0.06010,13.37,4.859,39.9327,1.000
0.0732,-0.04999,11.36,4.704,50.2981,1.000
0.0732,-0.03861,9.508,4.544,63.3148,1.000
0.0732,-0.03560,7.804,4.376,79.7496,1.000
0.0732,-0.03403,6.276,4.176,100.409,1.000
0.0732,-0.03403,4.984,3.922,126.376,1.000
0.0732,-0.03216,3.908,3.623,159.178,1.000
0.0732,-0.03140,3.055,3.326,200.113,1.000
0.0732,-0.03080,2.855,3.153,200.311,1.000
