Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1201,1.451E-003,46.24,10.08,0.100029,10.00
0.1201,-5.492E-004,36.45,9.786,0.100916,7.943
0.1201,-2.383E-003,30.10,9.827,0.100685,6.310
0.1201,-2.716E-003,25.39,9.770,0.100702,5.012
0.1201,-4.217E-003,22.16,9.617,0.100334,3.981
0.1201,-3.472E-003,19.43,9.306,0.102676,3.162
0.1201,-3.952E-003,17.31,8.971,0.0992887,2.512
0.1201,-4.021E-003,15.58,8.595,0.0995520,1.995
0.1201,-3.864E-003,13.97,8.350,0.0997336,1.585
0.1201,-4.325E-003,12.57,7.868,0.100571,1.259
0.1201,-4.040E-003,11.20,7.656,0.101668,1.000
0.1201,-4.070E-003,10.12,7.255,0.0973251,0.7943
0.1201,-4.844E-003,9.087,6.849,0.100719,0.6310
0.1201,-4.462E-003,7.956,6.519,0.0958956,0.5012
0.1201,-5.364E-003,6.763,5.919,0.102526,0.3981
0.1201,-5.139E-003,6.001,5.882,0.0995066,0.3162
0.1201,-5.139E-003,5.420,5.630,0.0947145,0.2512
0.1201,-5.286E-003,4.534,4.860,0.0951023,0.1995
0.1201,-5.443E-003,3.921,4.371,0.0791640,0.1585
0.1201,-4.227E-003,2.875,4.024,0.0924263,0.1259
0.1201,-4.884E-003,3.014,3.120,0.0719528,0.1000
0.1201,-5.178E-003,6.820,8.025,7.94658E-004,1.000
0.1201,-6.061E-003,10.97,7.801,0.0112088,1.000
0.1201,-5.609E-003,11.41,7.799,0.0161941,1.000
0.1201,-5.080E-003,11.30,7.992,0.0212226,1.000
0.1201,-5.090E-003,11.36,7.695,0.0280359,1.000
0.1201,-5.796E-003,11.34,7.541,0.0325316,1.000
0.1201,-6.031E-003,11.24,7.755,0.0393661,1.000
0.1201,-5.276E-003,11.29,7.664,0.0492512,1.000
0.1201,-6.227E-003,11.39,7.618,0.0635915,1.000
0.1201,-5.757E-003,11.37,7.676,0.0797136,1.000
0.1201,-5.286E-003,11.33,7.663,0.101026,1.000
0.1201,-6.208E-003,11.29,7.651,0.126994,1.000
0.1201,-5.894E-003,11.27,7.619,0.159761,1.000
0.1201,-6.845E-003,11.25,7.599,0.199834,1.000
0.1201,-4.746E-003,11.24,7.584,0.253578,1.000
0.1201,-5.806E-003,11.25,7.603,0.317355,1.000
0.1201,-5.462E-003,11.22,7.568,0.399184,1.000
0.1201,-5.845E-003,11.21,7.564,0.502999,1.000
0.1201,-5.315E-003,11.19,7.564,0.633969,1.000
0.1201,-5.953E-003,11.21,7.574,0.797664,1.000
0.1201,-5.325E-003,11.21,7.577,1.00119,1.000
0.1201,-5.933E-003,11.22,7.594,1.26027,1.000
0.1201,-5.247E-003,11.25,7.625,1.58648,1.000
0.1201,-5.717E-003,11.28,7.660,1.99654,1.000
0.1201,-5.688E-003,11.32,7.709,2.51338,1.000
0.1201,-6.080E-003,11.35,7.742,3.16418,1.000
0.1201,-6.325E-003,11.34,7.741,3.98165,1.000
0.1201,-5.433E-003,11.31,7.698,5.01249,1.000
0.1201,-6.335E-003,11.27,7.670,6.31032,1.000
0.1201,-6.433E-003,11.23,7.639,7.94479,1.000
0.1201,-5.060E-003,11.22,7.650,9.99977,1.000
0.1201,-5.835E-003,11.20,7.643,12.5908,1.000
0.1201,-5.482E-003,11.17,7.644,15.8496,1.000
0.1201,-5.423E-003,11.11,7.625,19.9525,1.000
0.1201,-5.462E-003,11.04,7.618,25.1216,1.000
0.1201,-5.678E-003,10.93,7.597,31.6224,1.000
0.1201,-4.580E-003,10.77,7.571,39.8161,1.000
0.1201,-4.433E-003,10.54,7.534,50.1122,1.000
0.1201,-5.148E-003,10.21,7.476,63.1071,1.000
0.1201,-4.894E-003,9.764,7.393,79.4338,1.000
0.1201,-5.070E-003,9.170,7.268,100.020,1.000
0.1201,-3.717E-003,8.428,7.091,125.903,1.000
0.1201,-3.246E-003,7.555,6.848,158.500,1.000
0.1201,-3.638E-003,6.591,6.529,199.540,1.000
0.1201,-3.756E-003,6.571,6.523,200.007,1.000
