Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.1325,0.03387,34.33,7.275,0.100175,10.00
0.1325,0.02660,27.38,10.10,0.100102,7.943
0.1325,0.02292,22.54,9.139,0.100371,6.310
0.1325,0.01984,19.04,8.938,0.102266,5.012
0.1325,0.01837,16.62,8.603,0.0999465,3.981
0.1325,0.01642,14.66,8.288,0.0995507,3.162
0.1325,0.01543,13.03,7.897,0.0983662,2.512
0.1325,0.01467,11.81,7.531,0.0996615,1.995
0.1325,0.01347,10.50,6.996,0.102703,1.585
0.1325,0.01208,9.403,6.624,0.0998353,1.259
0.1325,0.01196,8.507,6.224,0.100118,1.000
0.1325,0.01203,7.560,5.713,0.0991854,0.7943
0.1325,0.01096,6.711,5.224,0.0982485,0.6310
0.1325,0.01098,5.936,4.789,0.102783,0.5012
0.1325,0.01038,5.297,4.292,0.0987235,0.3981
0.1325,9.561E-003,4.695,4.129,0.101573,0.3162
0.1325,9.277E-003,4.017,3.561,0.104556,0.2512
0.1325,8.738E-003,3.773,3.142,0.0893092,0.1995
0.1325,8.748E-003,2.942,3.008,0.0822474,0.1585
0.1325,8.767E-003,2.579,2.932,0.0813786,0.1259
0.1325,8.708E-003,2.230,2.472,0.0741228,0.1000
0.1325,7.806E-003,9.014,1.288,8.48061E-004,1.000
0.1325,7.326E-003,7.513,5.034,7.09818E-003,1.000
0.1325,8.120E-003,8.533,6.415,0.0139025,1.000
0.1325,8.316E-003,8.292,6.203,0.0209376,1.000
0.1325,8.012E-003,8.294,5.989,0.0253659,1.000
0.1325,7.149E-003,8.432,6.326,0.0307854,1.000
0.1325,6.688E-003,8.414,5.944,0.0404900,1.000
0.1325,6.257E-003,8.349,6.082,0.0501630,1.000
0.1325,7.433E-003,8.468,6.064,0.0617993,1.000
0.1325,6.306E-003,8.420,6.091,0.0793238,1.000
0.1325,6.423E-003,8.471,6.054,0.0995688,1.000
0.1325,6.345E-003,8.528,6.036,0.128099,1.000
0.1325,6.688E-003,8.401,6.094,0.159682,1.000
0.1325,5.884E-003,8.398,6.077,0.201196,1.000
0.1325,5.855E-003,8.426,6.088,0.250850,1.000
0.1325,6.257E-003,8.410,6.088,0.316479,1.000
0.1325,5.580E-003,8.401,6.082,0.395604,1.000
0.1325,5.737E-003,8.396,6.056,0.500212,1.000
0.1325,5.247E-003,8.387,6.054,0.633246,1.000
0.1325,4.982E-003,8.382,6.065,0.794441,1.000
0.1325,5.707E-003,8.382,6.050,0.999443,1.000
0.1325,5.511E-003,8.366,6.034,1.25783,1.000
0.1325,6.139E-003,8.350,6.009,1.58415,1.000
0.1325,5.070E-003,8.333,5.991,1.99634,1.000
0.1325,4.913E-003,8.323,5.985,2.51132,1.000
0.1325,5.609E-003,8.318,5.987,3.16279,1.000
0.1325,5.168E-003,8.309,5.987,3.98352,1.000
0.1325,3.599E-003,8.311,6.008,5.01374,1.000
0.1325,3.844E-003,8.313,6.034,6.30919,1.000
0.1325,3.815E-003,8.301,6.031,7.94505,1.000
0.1325,5.001E-003,8.261,6.014,10.0018,1.000
0.1325,4.011E-003,8.216,6.001,12.5904,1.000
0.1325,4.246E-003,8.163,5.995,15.8471,1.000
0.1325,4.570E-003,8.092,5.984,19.9565,1.000
0.1325,4.707E-003,7.996,5.967,25.1214,1.000
0.1325,3.511E-003,7.869,5.948,31.6333,1.000
0.1325,3.874E-003,7.701,5.921,39.8113,1.000
0.1325,4.570E-003,7.479,5.883,50.1239,1.000
0.1325,3.776E-003,7.191,5.829,63.1034,1.000
0.1325,4.766E-003,6.826,5.755,79.4361,1.000
0.1325,4.050E-003,6.378,5.652,100.010,1.000
0.1325,4.992E-003,5.850,5.511,125.915,1.000
0.1325,5.766E-003,5.263,5.323,158.516,1.000
0.1325,5.345E-003,4.646,5.084,199.554,1.000
0.1325,5.247E-003,4.634,5.076,200.005,1.000
