Gap(mm),Normal force(N),Shear modulus (elastic component)(Pa),Shear modulus (viscous component)(Pa),Complex shear strain(%),Frequency(Hz)
0.0862,-0.01648,81.85,13.07,0.101059,10.00
0.0862,-0.03575,69.46,12.72,0.100467,7.943
0.0862,-0.01046,60.38,11.85,0.0617811,6.310
0.0862,-0.03133,56.57,12.19,0.0839362,5.012
0.0862,-0.03414,52.08,11.67,0.102341,3.981
0.0862,-0.04849,49.61,11.17,0.101499,3.162
0.0862,-0.05876,47.28,10.62,0.100521,2.512
0.0862,-0.06801,45.25,10.38,0.0965237,1.995
0.0862,-0.07064,43.85,9.662,0.100785,1.585
0.0862,-0.07209,42.56,9.481,0.100495,1.259
0.0862,-0.07175,41.36,9.169,0.0979591,1.000
0.0862,-0.06931,40.19,8.720,0.103133,0.7943
0.0862,-0.07425,39.37,8.606,0.0986441,0.6310
0.0862,-0.07746,37.67,8.296,0.101122,0.5012
0.0862,-0.08039,36.73,7.471,0.100762,0.3981
0.0862,-0.07884,36.61,8.231,0.0985457,0.3162
0.0862,-0.08084,35.47,7.374,0.0993267,0.2512
0.0862,-0.08349,33.76,10.84,0.0931425,0.1995
0.0862,-0.08788,32.18,8.566,0.0833736,0.1585
0.0862,-0.08106,32.64,6.516,0.0771317,0.1259
0.0862,-0.08501,34.49,7.944,0.0663594,0.1000
0.0862,-0.08052,39.09,16.43,3.37583E-004,1.000
0.0862,-0.07630,42.71,10.90,3.90826E-003,1.000
0.0862,-0.07144,44.03,9.323,0.0128215,1.000
0.0862,-0.07114,43.65,7.608,0.0178701,1.000
0.0862,-0.07606,44.47,8.871,0.0240849,1.000
0.0862,-0.07900,44.13,8.858,0.0318996,1.000
0.0862,-0.07296,44.15,8.828,0.0395745,1.000
0.0862,-0.07328,44.07,8.887,0.0520529,1.000
0.0862,-0.07146,44.18,8.983,0.0646538,1.000
0.0862,-0.07119,44.17,9.002,0.0809713,1.000
0.0862,-0.07201,44.23,9.000,0.0997521,1.000
0.0862,-0.07003,44.20,9.060,0.125513,1.000
0.0862,-0.07018,44.19,9.060,0.158743,1.000
0.0862,-0.07281,44.17,9.093,0.201115,1.000
0.0862,-0.06952,44.12,9.099,0.250355,1.000
0.0862,-0.07167,44.15,9.154,0.316954,1.000
0.0862,-0.07229,44.02,9.185,0.397293,1.000
0.0862,-0.07544,43.96,9.207,0.500031,1.000
0.0862,-0.07537,43.87,9.205,0.630376,1.000
0.0862,-0.07894,43.81,9.237,0.795222,1.000
0.0862,-0.07782,43.80,9.233,1.00247,1.000
0.0862,-0.07938,43.83,9.235,1.25873,1.000
0.0862,-0.08522,43.73,9.295,1.58497,1.000
0.0862,-0.08147,43.74,9.328,1.99664,1.000
0.0862,-0.08818,43.62,9.436,2.51166,1.000
0.0862,-0.08670,43.41,9.526,3.16318,1.000
0.0862,-0.09028,43.00,9.657,3.98322,1.000
0.0862,-0.09443,42.13,9.796,5.01391,1.000
0.0862,-0.09362,40.88,9.856,6.31216,1.000
0.0862,-0.09461,39.17,9.868,7.94720,1.000
0.0862,-0.1017,37.07,9.928,10.0090,1.000
0.0862,-0.1030,34.77,10.02,12.6049,1.000
0.0862,-0.1010,32.25,9.990,15.8682,1.000
0.0862,-0.09893,29.46,9.950,19.9888,1.000
0.0862,-0.09658,26.55,9.837,25.1556,1.000
0.0862,-0.09180,23.59,9.675,31.7103,1.000
0.0862,-0.08750,20.57,9.463,39.9283,1.000
0.0862,-0.08538,17.58,9.190,50.2876,1.000
0.0862,-0.08142,14.72,8.831,63.2793,1.000
0.0862,-0.07899,12.06,8.374,79.6670,1.000
0.0862,-0.07571,9.679,7.809,100.293,1.000
0.0862,-0.07628,7.619,7.159,126.211,1.000
0.0862,-0.07582,5.917,6.443,158.812,1.000
0.0862,-0.07645,4.556,5.732,199.881,1.000
0.0862,-0.07820,4.356,5.605,200.248,1.000
