X,Y,Value
3378,127,255
3379,127,255
3380,127,255
3381,127,255
3382,127,255
3383,127,255
3384,127,255
3385,127,255
3386,127,255
3387,127,255
3388,127,255
3389,127,255
3390,127,255
3391,127,255
3373,128,255
3374,128,255
3375,128,255
3376,128,255
3377,128,255
3378,128,255
3379,128,255
3380,128,255
3381,128,255
3382,128,255
3383,128,255
3384,128,255
3385,128,255
3386,128,255
3387,128,255
3388,128,255
3389,128,255
3390,128,255
3391,128,255
3392,128,255
3393,128,255
3394,128,255
3395,128,255
3396,128,255
3397,128,255
3398,128,255
3399,128,255
3400,128,255
3401,128,255
1004,129,255
1005,129,255
1006,129,255
1007,129,255
1008,129,255
1009,129,255
1010,129,255
1011,129,255
1012,129,255
1013,129,255
1014,129,255
1015,129,255
1016,129,255
1017,129,255
1018,129,255
1019,129,255
1020,129,255
1021,129,255
3370,129,255
3371,129,255
3372,129,255
3373,129,255
3374,129,255
3375,129,255
3376,129,255
3377,129,255
3378,129,255
3379,129,255
3380,129,255
3381,129,255
3382,129,255
3383,129,255
3384,129,255
3385,129,255
3386,129,255
3387,129,255
3388,129,255
3389,129,255
3390,129,255
3391,129,255
3392,129,255
3393,129,255
3394,129,255
3395,129,255
3396,129,255
3397,129,255
3398,129,255
3399,129,255
3400,129,255
3401,129,255
3402,129,255
989,130,255
990,130,255
991,130,255
992,130,255
993,130,255
994,130,255
995,130,255
996,130,255
997,130,255
998,130,255
999,130,255
1000,130,255
1001,130,255
1002,130,255
1003,130,255
1004,130,255
1005,130,255
1006,130,255
1007,130,255
1008,130,255
1009,130,255
1010,130,255
1011,130,255
1012,130,255
1013,130,255
1014,130,255
1015,130,255
1016,130,255
1017,130,255
1018,130,255
1019,130,255
1020,130,255
1021,130,255
1022,130,255
1023,130,255
1024,130,255
1025,130,255
3368,130,255
3369,130,255
3370,130,255
3371,130,255
3372,130,255
3373,130,255
3374,130,255
3375,130,255
3376,130,255
3377,130,255
3378,130,255
3379,130,255
3380,130,255
3389,130,255
3390,130,255
3391,130,255
3392,130,255
3393,130,255
3394,130,255
3395,130,255
3396,130,255
3397,130,255
3398,130,255
3399,130,255
3400,130,255
3401,130,255
3402,130,255
3403,130,255
3404,130,255
3405,130,255
3406,130,255
3407,130,255
3408,130,255
3409,130,255
3410,130,255
3411,130,255
3412,130,255
3413,130,255
3414,130,255
3415,130,255
3416,130,255
3417,130,255
983,131,255
984,131,255
985,131,255
986,131,255
987,131,255
988,131,255
989,131,255
990,131,255
991,131,255
992,131,255
993,131,255
994,131,255
995,131,255
996,131,255
997,131,255
998,131,255
999,131,255
1000,131,255
1001,131,255
1002,131,255
1003,131,255
1004,131,255
1005,131,255
1006,131,255
1007,131,255
1008,131,255
1009,131,255
1010,131,255
1011,131,255
1012,131,255
1013,131,255
1014,131,255
1015,131,255
1016,131,255
1017,131,255
1018,131,255
1019,131,255
1020,131,255
1021,131,255
1022,131,255
1023,131,255
1024,131,255
1025,131,255
1026,131,255
3368,131,255
3369,131,255
3370,131,255
3371,131,255
3372,131,255
3373,131,255
3374,131,255
3375,131,255
3399,131,255
3400,131,255
3401,131,255
3402,131,255
3403,131,255
3404,131,255
3405,131,255
3406,131,255
3407,131,255
3408,131,255
3409,131,255
3410,131,255
3411,131,255
3412,131,255
3413,131,255
3414,131,255
3415,131,255
3416,131,255
3417,131,255
3418,131,255
3419,131,255
979,132,255
980,132,255
981,132,255
982,132,255
983,132,255
984,132,255
985,132,255
986,132,255
987,132,255
988,132,255
989,132,255
990,132,255
991,132,255
992,132,255
993,132,255
994,132,255
995,132,255
996,132,255
997,132,255
998,132,255
999,132,255
1000,132,255
1001,132,255
1002,132,255
1003,132,255
1004,132,255
1005,132,255
1006,132,255
1019,132,255
1020,132,255
1021,132,255
1022,132,255
1023,132,255
1024,132,255
1025,132,255
1026,132,255
1027,132,255
1028,132,255
3368,132,255
3369,132,255
3370,132,255
3371,132,255
3372,132,255
3400,132,255
3401,132,255
3402,132,255
3403,132,255
3404,132,255
3405,132,255
3406,132,255
3407,132,255
3408,132,255
3409,132,255
3410,132,255
3411,132,255
3412,132,255
3413,132,255
3414,132,255
3415,132,255
3416,132,255
3417,132,255
3418,132,255
3419,132,255
3420,132,255
975,133,255
976,133,255
977,133,255
978,133,255
979,133,255
980,133,255
981,133,255
982,133,255
983,133,255
984,133,255
985,133,255
986,133,255
987,133,255
988,133,255
989,133,255
990,133,255
991,133,255
1023,133,255
1024,133,255
1025,133,255
1026,133,255
1027,133,255
1028,133,255
1029,133,255
3368,133,255
3369,133,255
3370,133,255
3415,133,255
3416,133,255
3417,133,255
3418,133,255
3419,133,255
3420,133,255
3421,133,255
3422,133,255
3423,133,255
974,134,255
975,134,255
976,134,255
977,134,255
978,134,255
979,134,255
980,134,255
981,134,255
982,134,255
983,134,255
984,134,255
985,134,255
1024,134,255
1025,134,255
1026,134,255
1027,134,255
1028,134,255
1029,134,255
1030,134,255
1031,134,255
3368,134,255
3369,134,255
3370,134,255
3371,134,255
3372,134,255
3417,134,255
3418,134,255
3419,134,255
3420,134,255
3421,134,255
3422,134,255
3423,134,255
3424,134,255
3425,134,255
973,135,255
974,135,255
975,135,255
976,135,255
977,135,255
978,135,255
979,135,255
980,135,255
981,135,255
1026,135,255
1027,135,255
1028,135,255
1029,135,255
1030,135,255
1031,135,255
1032,135,255
3367,135,255
3368,135,255
3369,135,255
3370,135,255
3371,135,255
3418,135,255
3419,135,255
3420,135,255
3421,135,255
3422,135,255
3423,135,255
3424,135,255
3425,135,255
971,136,255
972,136,255
973,136,255
974,136,255
975,136,255
976,136,255
977,136,255
1027,136,255
1028,136,255
1029,136,255
1030,136,255
1031,136,255
1032,136,255
1033,136,255
1034,136,255
